,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"2,400",Northwest Brampton,"2 bd
3 ba",2,3,,Townhouse,Brampton,Ontario
1,"2,300",Madoc,"V Tour

3 bd
2 ba
1119 sf",3,,1119,"


House",Brampton,Ontario
2,"2,017",Brampton East,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Brampton,Ontario
3,"2,267",Brampton East,"V Tour

3 bd
1 ba",3,,,"


Apt/Condo",Brampton,Ontario
4,"1,600",Credit Valley,"2 bd
1 ba
35 x 88 ft",2,1,35,House,Brampton,Ontario
5,"2,450",Northwest Brampton,"V Tour

4 bd
3 ba
1265 sf",4,,1265,"


House",Brampton,Ontario
6,"3,175",Bram East,"4 bd
3 ba
1800 sf",4,3,1800,House,Brampton,Ontario
7,"2,500",Fletcher's West,"V Tour

4 bd
3 ba
1340 sf",4,,1340,"


House",Brampton,Ontario
8,"1,500",Avondale,"1 bd
1 ba
1000 sf",1,1,1000,Duplex,Brampton,Ontario
9,"1,575",Heart Lake West,"V Tour

2 bd
1 ba
603 sf",2,,603,"


Multifamily",Brampton,Ontario
10,"1,625",Brampton South,"0 bd
1 ba",0,1,,Apt/Condo,Brampton,Ontario
11,"1,999",Brampton South,"1 bd
1 ba",1,1,,Apt/Condo,Brampton,Ontario
12,"2,199",Brampton South,"2 bd
1 ba",2,1,,Apt/Condo,Brampton,Ontario
13,"1,750",Vales Of Castlemore,"2 bd
1 ba
3500 - 5000 sf",2,1,3500,House,Brampton,Ontario
14,"2,500",Avondale,"3 bd
1 ba
1500 sf",3,1,1500,Duplex,Brampton,Ontario
15,650,Fletcher's Creek Village,"0 bd
1 ba
187 sf",0,1,187,House,Brampton,Ontario
16,"2,913",Queen Street Corridor,"2 bd
2 ba
1059 sf",2,2,1059,Apt/Condo,Brampton,Ontario
17,"2,427",Queen Street Corridor,"2 bd
2 ba
1128 sf",2,2,1128,Apt/Condo,Brampton,Ontario
18,"2,566",Queen Street Corridor,"3 bd
1 ba
1112 sf",3,1,1112,Apt/Condo,Brampton,Ontario
19,"2,119",Queen Street Corridor,"1 bd
1 ba
725 sf",1,1,725,Apt/Condo,Brampton,Ontario
20,"2,148",Queen Street Corridor,"2 bd
1 ba
917 sf",2,1,917,Apt/Condo,Brampton,Ontario
21,"1,750",Bram West,"2 bd
1 ba",2,1,,House,Brampton,Ontario
22,"2,700",Credit Valley,"3 bd
3 ba
1500 - 2000 sf
23 x 101 ft",3,3,1500,House,Brampton,Ontario
23,"2,600",Brampton South,"3 bd
2 ba
30 x 135 ft",3,2,30,House,Brampton,Ontario
24,"1,700",Brampton East,"2 bd
1 ba",2,1,,House,Brampton,Ontario
25,"1,300",Brampton North,"3 bd
1 ba
1100 - 1500 sf
50 x 100 ft",3,1,1100,House,Brampton,Ontario
26,"1,500",Madoc,"1 bd
1 ba",1,1,,House,Brampton,Ontario
27,"2,200",Madoc,"V Tour

3 bd
1 ba",3,,,"


House",Brampton,Ontario
28,"2,999",Northwest Brampton,"4 bd
4 ba
2000 - 2500 sf",4,4,2000,Townhouse,Brampton,Ontario
29,"1,600",Bram East,"2 bd
2 ba
118 x 62 ft",2,2,118,House,Brampton,Ontario
30,"2,499",Bram West,"4 bd
4 ba
2000 - 2500 sf",4,4,2000,House,Brampton,Ontario
31,"2,200",Brampton North,"3 bd
1 ba
1100 - 1500 sf
50 x 100 ft",3,1,1100,House,Brampton,Ontario
32,"2,650",Sandringham Wellington,"3 bd
3 ba
32 x 109 ft",3,3,32,House,Brampton,Ontario
33,"2,600",Fletcher's Creek Village,"3 + 2 bd
4 ba
20 x 108 ft",3 + 2,4,20,House,Brampton,Ontario
34,"2,699",Northwest Brampton,"3 bd
3 ba",3,3,,Townhouse,Brampton,Ontario
35,"2,800",Northwest Brampton,"4 bd
3 ba
1500 - 2000 sf",4,3,1500,Townhouse,Brampton,Ontario
36,"1,950",Queen Street Corridor,"1 bd
1 ba
700 - 799 sf",1,1,700,Apt/Condo,Brampton,Ontario
37,"1,250",Heart Lake West,"1 bd
1 ba",1,1,,House,Brampton,Ontario
38,"2,500",Brampton West Industrial,"3 bd
2 ba",3,2,,Townhouse,Brampton,Ontario
39,"3,000",Northwest Brampton,"4 bd
3 ba",4,3,,House,Brampton,Ontario
40,"1,600",Bram West,"2 bd
1 ba",2,1,,House,Brampton,Ontario
