,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"6,500",Brentwood Park,"3 bd
2 ba
1778 sf",3,2,1778,Apt/Condo,Burnaby,BC
1,"2,500",Metrotown,"2 bd
2 ba
755 sf",2,2,755,Apt/Condo,Burnaby,BC
2,"2,300",Highgate,"2 bd
2 ba
754 sf",2,2,754,Apt/Condo,Burnaby,BC
3,"2,430",Forest Glen,"2 bd
2 ba
966 sf",2,2,966,Apt/Condo,Burnaby,BC
4,"2,295",Simon Fraser Hills,"3 bd
1 ba
950 sf",3,1,950,Apt/Condo,Burnaby,BC
5,"1,900",Simon Fraser Hills,"1 bd
1 ba
900 sf",1,1,900,House,Burnaby,BC
6,"2,621",Forest Glen,"2 bd
1 ba
835 sf",2,1,835,Apt/Condo,Burnaby,BC
7,"1,981",Forest Glen,"1 bd
1 ba
647 sf",1,1,647,Apt/Condo,Burnaby,BC
8,"2,347",Central Park,"V Tour

1 bd
1 ba
677 sf",1,,677,"


Apt/Condo",Burnaby,BC
9,"3,000",Metrotown,"2 bd
2 ba
774 sf",2,2,774,House,Burnaby,BC
10,"2,600",Metrotown,"2 bd
2 ba
800 sf",2,2,800,Apt/Condo,Burnaby,BC
11,"2,850",Brentwood Park,"2 bd
2 ba
909 sf",2,2,909,House,Burnaby,BC
12,"3,500",Metrotown,"3 bd
2 ba
1088 sf",3,2,1088,House,Burnaby,BC
13,"3,100",Brentwood Park,"2 bd
2 ba
864 sf",2,2,864,House,Burnaby,BC
14,"3,999",Garden Village,"3 bd
1 ba
1375 sf",3,1,1375,House,Burnaby,BC
15,"1,350",Big Bend,"1 bd
1 ba
760 sf",1,1,760,House,Burnaby,BC
16,"2,850",Big Bend,"3 bd
2 ba
1600 sf",3,2,1600,House,Burnaby,BC
