,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"1,126",Beltline,"1 bd
0 ba
670 sf",1,0,670,Apt/Condo,Calgary,Alberta
1,"1,010",Windsor Park ,"1 bd
1 ba
615 sf",1,1,615,Apt/Condo,Calgary,Alberta
2,975,Mission,"1 bd
1 ba",1,1,,Apt/Condo,Calgary,Alberta
3,"1,276",Haysboro,"2 bd
0 ba
886 sf",2,0,886,Apt/Condo,Calgary,Alberta
4,"1,080",Windsor Park ,"1 bd
1 ba
615 sf",1,1,615,Apt/Condo,Calgary,Alberta
5,"1,149",Willow Park,"2 bd
1 ba
870 sf",2,1,870,Apt/Condo,Calgary,Alberta
6,"1,637",Beltline,"2 bd
2 ba
2345 sf",2,2,2345,Apt/Condo,Calgary,Alberta
7,"2,126",Beltline,"2 bd
2 ba
962 sf",2,2,962,Apt/Condo,Calgary,Alberta
8,934,Beltline,"0 bd
1 ba
554 sf",0,1,554,Apt/Condo,Calgary,Alberta
9,"1,434",Beltline,"1 bd
2 ba
1101 sf",1,2,1101,Apt/Condo,Calgary,Alberta
10,"1,196",Rundle,"2 bd
1 ba
975 sf",2,1,975,Townhouse,Calgary,Alberta
11,"1,150",Seton,"0 bd
1 ba
463 sf",0,1,463,Townhouse,Calgary,Alberta
12,"1,195",Seton,"1 bd
1 ba
505 sf",1,1,505,Townhouse,Calgary,Alberta
13,"1,495",Seton,"2 bd
2 ba
678 sf",2,2,678,Townhouse,Calgary,Alberta
14,"1,350",Seton,"1 bd
1 ba
600 sf",1,1,600,Apt/Condo,Calgary,Alberta
15,"1,765",Seton,"2 bd
2 ba
900 sf",2,2,900,Apt/Condo,Calgary,Alberta
16,"1,430",Beltline,"1 bd
1 ba
578 sf",1,1,578,Apt/Condo,Calgary,Alberta
17,"1,326",Mission,"2 bd
1 ba
884 sf",2,1,884,Apt/Condo,Calgary,Alberta
18,"1,126",Haysboro,"1 bd
0 ba
678 sf",1,0,678,Apt/Condo,Calgary,Alberta
19,999,Willow Park,"1 bd
1 ba
650 sf",1,1,650,Apt/Condo,Calgary,Alberta
20,899,Willow Park,"1 bd
1 ba
650 sf",1,1,650,Apt/Condo,Calgary,Alberta
21,999,Willow Park,"1 bd
1 ba
500 sf",1,1,500,Apt/Condo,Calgary,Alberta
22,"1,149",Willow Park,"2 bd
1 ba
750 sf",2,1,750,Apt/Condo,Calgary,Alberta
23,"1,149",Willow Park,"2 bd
1 ba
750 sf",2,1,750,Apt/Condo,Calgary,Alberta
24,"1,149",Willow Park,"2 bd
1 ba
870 sf",2,1,870,Apt/Condo,Calgary,Alberta
25,"1,149",Willow Park,"2 bd
1 ba
870 sf",2,1,870,Apt/Condo,Calgary,Alberta
26,"1,401",Thorncliffe,"2 bd
2 ba
985 sf",2,2,985,Townhouse,Calgary,Alberta
27,"1,200",Windsor Park ,"2 bd
1 ba
830 sf",2,1,830,Apt/Condo,Calgary,Alberta
28,"1,495",Skyview Ranch,"2 bd
2 ba
905 sf",2,2,905,Apt/Condo,Calgary,Alberta
29,"2,395",Downtown West End,"2 bd
2 ba",2,2,,Apt/Condo,Calgary,Alberta
30,"1,095",Braeside,"2 bd
1 ba",2,1,,Apt/Condo,Calgary,Alberta
31,"1,101",Mission,"1 bd
0 ba
500 sf",1,0,500,Apt/Condo,Calgary,Alberta
32,"1,396",Rundle,"3 bd
1 ba
1136 sf",3,1,1136,Townhouse,Calgary,Alberta
33,"1,633",Beltline,"1 bd
1 ba
568 sf",1,1,568,Apt/Condo,Calgary,Alberta
34,"2,041",Beltline,"2 bd
2 ba
895 sf",2,2,895,Apt/Condo,Calgary,Alberta
35,"2,310",Downtown Calgary Core,"V Tour

1 bd
1 ba
696 sf",1,,696,"


Apt/Condo",Calgary,Alberta
36,"1,426",Mission,"2 bd
1 ba
851 sf",2,1,851,Apt/Condo,Calgary,Alberta
37,"1,226",Bankview,"1 bd
1 ba
600 sf",1,1,600,Apt/Condo,Calgary,Alberta
