,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"1,250",Empire Park,"3 bd
2 ba
980 sf",3,2,980,Townhouse,Edmonton,Alberta
1,"1,850",Queen Mary Park,"5 bd
2 ba
1050 sf",5,2,1050,House,Edmonton,Alberta
2,"2,200",Jackson Heights,"5 bd
3 ba
2800 sf",5,3,2800,House,Edmonton,Alberta
3,"1,045",Killarney,"2 bd
1 ba
952 sf",2,1,952,Townhouse,Edmonton,Alberta
4,826,Elmwood Park,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Edmonton,Alberta
5,"1,425",Empire Park,"3 bd
2 ba
1232 sf",3,2,1232,Townhouse,Edmonton,Alberta
6,"1,100",Empire Park,"3 bd
1 ba
1054 sf",3,1,1054,Apt/Condo,Edmonton,Alberta
7,"1,100",Empire Park,"2 bd
1 ba
1054 sf",2,1,1054,Apt/Condo,Edmonton,Alberta
8,"1,350",Empire Park,"3 bd
2 ba
1254 sf",3,2,1254,Apt/Condo,Edmonton,Alberta
9,999,Overlanders,"2 bd
1 ba
940 sf",2,1,940,Apt/Condo,Edmonton,Alberta
10,729,Cromdale,"0 bd
1 ba
344 sf",0,1,344,Apt/Condo,Edmonton,Alberta
11,929,Cromdale,"1 bd
1 ba
835 sf",1,1,835,Apt/Condo,Edmonton,Alberta
12,979,Cromdale,"1 bd
1 ba
720 sf",1,1,720,Apt/Condo,Edmonton,Alberta
13,779,Cromdale,"0 bd
1 ba
610 sf",0,1,610,Apt/Condo,Edmonton,Alberta
14,875,Boyle Street,"0 bd
1 ba",0,1,,Apt/Condo,Edmonton,Alberta
15,970,Boyle Street,"1 bd
1 ba",1,1,,Apt/Condo,Edmonton,Alberta
16,949,Rossdale,"1 bd
1 ba
612 sf",1,1,612,Apt/Condo,Edmonton,Alberta
17,599,Downtown,"0 bd
1 ba
180 sf",0,1,180,Multifamily,Edmonton,Alberta
18,959,Downtown,"1 bd
1 ba
612 sf",1,1,612,Apt/Condo,Edmonton,Alberta
19,699,Downtown,"1 bd
1 ba
530 sf",1,1,530,Multifamily,Edmonton,Alberta
20,749,Downtown,"0 bd
1 ba
470 sf",0,1,470,Apt/Condo,Edmonton,Alberta
21,"1,059",Rossdale,"2 bd
1 ba
820 sf",2,1,820,Apt/Condo,Edmonton,Alberta
22,729,Downtown,"0 bd
1 ba
391 sf",0,1,391,Apt/Condo,Edmonton,Alberta
23,"1,029",Downtown,"2 bd
1 ba
804 sf",2,1,804,Apt/Condo,Edmonton,Alberta
24,929,Downtown,"1 bd
1 ba
587 sf",1,1,587,Apt/Condo,Edmonton,Alberta
25,959,Rossdale,"1 bd
1 ba
650 sf",1,1,650,Apt/Condo,Edmonton,Alberta
26,"1,045",Boyle Street,"1 bd
1 ba",1,1,,Apt/Condo,Edmonton,Alberta
27,619,Downtown,"0 bd
1 ba
341 sf",0,1,341,Apt/Condo,Edmonton,Alberta
28,"1,100",Downtown,"1 bd
1 ba
713 sf",1,1,713,Apt/Condo,Edmonton,Alberta
29,"1,325",Downtown,"2 bd
1 ba
767 sf",2,1,767,Apt/Condo,Edmonton,Alberta
30,829,Downtown,"0 bd
1 ba
294 sf",0,1,294,Apt/Condo,Edmonton,Alberta
31,"1,029",Downtown,"1 bd
1 ba
538 sf",1,1,538,Apt/Condo,Edmonton,Alberta
32,899,Downtown,"1 bd
1 ba
516 sf",1,1,516,Apt/Condo,Edmonton,Alberta
33,839,Downtown,"0 bd
1 ba
475 sf",0,1,475,Apt/Condo,Edmonton,Alberta
34,"1,009",Downtown,"1 bd
1 ba
783 sf",1,1,783,Apt/Condo,Edmonton,Alberta
