,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"1,425",Poplar,"1 bd
1 ba
533 sf",1,1,533,Apt/Condo,Abbotsford,BC
1,"2,245",Poplar,"2 bd
2 ba
910 sf",2,2,910,Apt/Condo,Abbotsford,BC
2,"1,350",Abbotsford West,"1 bd
1 ba
538 sf",1,1,538,Apt/Condo,Abbotsford,BC
3,"1,725",Poplar,"1 bd
1 ba
689 sf",1,1,689,Apt/Condo,Abbotsford,BC
4,"1,625",Central Abbotsford,"2 bd
1 ba
846 sf",2,1,846,Apt/Condo,Abbotsford,BC
5,"1,365",Central Abbotsford,"1 bd
1 ba
846 sf",1,1,846,Apt/Condo,Abbotsford,BC
6,"1,550",Abbotsford West,"2 bd
1 ba
903 sf",2,1,903,Apt/Condo,Abbotsford,BC
7,"1,200",Abbotsford West,"1 bd
1 ba
543 sf",1,1,543,Apt/Condo,Abbotsford,BC
8,"1,400",Abbotsford West,"2 bd
1 ba
544 sf",2,1,544,Apt/Condo,Abbotsford,BC
9,"1,025",Abbotsford West,"0 bd
1 ba
334 sf",0,1,334,Apt/Condo,Abbotsford,BC
10,"1,270",Abbotsford West,"1 bd
1 ba
662 sf",1,1,662,Apt/Condo,Abbotsford,BC
11,"1,625",Abbotsford West,"2 bd
1 ba
861 sf",2,1,861,Apt/Condo,Abbotsford,BC
12,"1,365",Abbotsford West,"1 bd
1 ba
590 sf",1,1,590,Apt/Condo,Abbotsford,BC
13,"1,075",Abbotsford West,"0 bd
1 ba
590 sf",0,1,590,Apt/Condo,Abbotsford,BC
14,"1,270",Central Abbotsford,"1 bd
1 ba
675 sf",1,1,675,Apt/Condo,Abbotsford,BC
15,"1,550",Central Abbotsford,"2 bd
1 ba
903 sf",2,1,903,Apt/Condo,Abbotsford,BC
16,"1,270",Central Abbotsford,"1 bd
1 ba
740 sf",1,1,740,Apt/Condo,Abbotsford,BC
17,"1,025",Central Abbotsford,"0 bd
1 ba
430 sf",0,1,430,Apt/Condo,Abbotsford,BC
18,"1,525",Central Abbotsford,"2 bd
1 ba
950 sf",2,1,950,Apt/Condo,Abbotsford,BC
19,"1,025",Central Abbotsford,"0 bd
1 ba
430 sf",0,1,430,Apt/Condo,Abbotsford,BC
20,"1,235",Central Abbotsford,"1 bd
1 ba
750 sf",1,1,750,Apt/Condo,Abbotsford,BC
21,"1,480",Central Abbotsford,"2 bd
1 ba
920 sf",2,1,920,Apt/Condo,Abbotsford,BC
22,"2,000",Abbotsford West,"3 bd
1 ba
1188 sf",3,1,1188,Apt/Condo,Abbotsford,BC
23,"1,550",Abbotsford West,"2 bd
1 ba
900 sf",2,1,900,Apt/Condo,Abbotsford,BC
24,"1,270",Abbotsford West,"1 bd
1 ba
746 sf",1,1,746,Apt/Condo,Abbotsford,BC
25,"1,270",Central Abbotsford,"1 bd
1 ba
700 sf",1,1,700,Apt/Condo,Abbotsford,BC
26,"1,550",Central Abbotsford,"2 bd
1 ba
930 sf",2,1,930,Apt/Condo,Abbotsford,BC
27,"1,270",Abbotsford West,"1 bd
1 ba
641 sf",1,1,641,Apt/Condo,Abbotsford,BC
28,"1,215",Central Abbotsford,"1 bd
1 ba
685 sf",1,1,685,Apt/Condo,Abbotsford,BC
29,"1,025",Central Abbotsford,"0 bd
1 ba
450 sf",0,1,450,Apt/Condo,Abbotsford,BC
30,"1,380",Central Abbotsford,"2 bd
1 ba
900 sf",2,1,900,Apt/Condo,Abbotsford,BC
31,"1,550",Abbotsford West,"2 bd
1 ba
857 sf",2,1,857,Apt/Condo,Abbotsford,BC
32,"1,300",Central Abbotsford,"1 bd
1 ba
714 sf",1,1,714,Apt/Condo,Abbotsford,BC
33,"1,580",Central Abbotsford,"2 bd
1 ba
902 sf",2,1,902,Apt/Condo,Abbotsford,BC
34,"1,270",Central Abbotsford,"1 bd
1 ba
680 sf",1,1,680,Apt/Condo,Abbotsford,BC
35,"1,500",Central Abbotsford,"2 bd
1 ba
880 sf",2,1,880,Apt/Condo,Abbotsford,BC
36,"1,270",Abbotsford West,"1 bd
1 ba
608 sf",1,1,608,Apt/Condo,Abbotsford,BC
37,"1,025",Abbotsford West,"0 bd
1 ba
486 sf",0,1,486,Apt/Condo,Abbotsford,BC
38,"1,550",Abbotsford West,"2 bd
1 ba
864 sf",2,1,864,Apt/Condo,Abbotsford,BC
39,"1,025",Abbotsford West,"0 bd
1 ba
666 sf",0,1,666,Apt/Condo,Abbotsford,BC
40,"1,025",Central Abbotsford,"0 bd
1 ba
475 sf",0,1,475,Apt/Condo,Abbotsford,BC
41,"1,250",Central Abbotsford,"1 bd
1 ba
645 sf",1,1,645,Apt/Condo,Abbotsford,BC
42,"1,485",Central Abbotsford,"2 bd
1 ba
900 sf",2,1,900,Apt/Condo,Abbotsford,BC
43,900,Central Abbotsford,"0 bd
1 ba
338 sf",0,1,338,Apt/Condo,Abbotsford,BC
44,"1,100",Central Abbotsford,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Abbotsford,BC
45,"1,550",Central Abbotsford,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Abbotsford,BC
