,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"1,920",Riverdale,"V Tour

2 bd
1 ba
810 sf",2,,810,"


Apt/Condo",Hamilton,Ontario
1,"1,795",Macassa,"2 bd
1 ba",2,1,,Duplex,Hamilton,Ontario
2,"2,199",Blakeley,"2 bd
2 ba",2,2,,Multifamily,Hamilton,Ontario
3,"1,550",Inch Park,"1 bd
1 ba",1,1,,Apt/Condo,Hamilton,Ontario
4,"2,049",Crown Point,"2 bd
1 ba",2,1,,House,Hamilton,Ontario
5,"1,225",Delta,"1 bd
1 ba",1,1,,Apt/Condo,Hamilton,Ontario
6,"1,575",Gibson,"2 bd
1 ba",2,1,,Multifamily,Hamilton,Ontario
7,"1,749",Blakeley,"2 bd
1 ba",2,1,,Multifamily,Hamilton,Ontario
8,"2,375",North End,"3 bd
2 ba
1185 sf",3,2,1185,Apt/Condo,Hamilton,Ontario
9,"1,950",Durand,"2 bd
1 ba
800 sf",2,1,800,Duplex,Hamilton,Ontario
10,"1,800",Fessenden,"2 bd
2 ba",2,2,,House,Hamilton,Ontario
11,"4,000",Rural Glanbrook,"4 bd
2 ba",4,2,,House,Hamilton,Ontario
12,"1,800",Huntington,"2 bd
1 ba",2,1,,Duplex,Hamilton,Ontario
13,"2,300",Crerar,"2 bd
2 ba",2,2,,House,Hamilton,Ontario
14,"3,500",Durand,"4 bd
3 ba
2250 sf",4,3,2250,House,Hamilton,Ontario
15,"1,500",Stipley,"1 bd
1 ba",1,1,,Apt/Condo,Hamilton,Ontario
16,"1,495",Mcquesten,"1 bd
1 ba",1,1,,Apt/Condo,Hamilton,Ontario
17,"2,150",Corktown,"2 bd
1 ba
725 sf",2,1,725,Apt/Condo,Hamilton,Ontario
18,"1,525",Riverdale,"0 bd
1 ba
380 sf",0,1,380,Apt/Condo,Hamilton,Ontario
19,"1,875",Durand,"V Tour

1 bd
1 ba
516 sf",1,,516,"


Apt/Condo",Hamilton,Ontario
20,"1,450",Normanhurst,"2 bd
1 ba
600 sf",2,1,600,House,Hamilton,Ontario
