,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"1,500",Sapperton,"1 bd
1 ba
536 sf",1,1,536,Apt/Condo,New_westminster,BC
1,"1,800",New Westminster Quay,"1 bd
1 ba
502 sf",1,1,502,Apt/Condo,New_westminster,BC
2,"1,650",Uptown,"V Tour

1 bd
1 ba
700 sf",1,,700,"


Apt/Condo",New_westminster,BC
3,"1,275",Uptown,"0 bd
1 ba",0,1,,Apt/Condo,New_westminster,BC
4,"1,425",Uptown,"1 bd
1 ba",1,1,,Apt/Condo,New_westminster,BC
5,"1,725",Uptown,"2 bd
1 ba",2,1,,Apt/Condo,New_westminster,BC
6,"2,200",Sapperton,"V Tour

2 bd
2 ba
1000 sf",2,,1000,"


Apt/Condo",New_westminster,BC
7,"1,650",Uptown,"V Tour

1 bd
1 ba
700 sf",1,,700,"


Apt/Condo",New_westminster,BC
8,"1,500",Downtown New West,"V Tour

0 bd
1 ba
550 sf",0,,550,"


Apt/Condo",New_westminster,BC
9,"1,650",Uptown,"V Tour

1 bd
1 ba
700 sf",1,,700,"


Apt/Condo",New_westminster,BC
10,"2,500",Sapperton,"V Tour

2 bd
2 ba
1300 sf",2,,1300,"


Apt/Condo",New_westminster,BC
11,"1,425",Uptown,"1 bd
1 ba
479 sf",1,1,479,Apt/Condo,New_westminster,BC
12,"1,700",Uptown,"2 bd
1 ba
693 sf",2,1,693,Apt/Condo,New_westminster,BC
13,"1,500",Sapperton,"1 bd
1 ba
536 sf",1,1,536,House,New_westminster,BC
14,"3,000",Queensborough,"1 bd
1 ba
612 sf",1,1,612,Apt/Condo,New_westminster,BC
