,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,971,Red Deer,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Red_deer,Alberta
1,841,Red Deer,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Red_deer,Alberta
2,995,Red Deer,"1 bd
1 ba
795 sf",1,1,795,Apt/Condo,Red_deer,Alberta
3,"1,169",Red Deer,"2 bd
1 ba
770 sf",2,1,770,Apt/Condo,Red_deer,Alberta
4,924,Red Deer,"1 bd
1 ba
631 sf",1,1,631,Apt/Condo,Red_deer,Alberta
5,924,Red Deer,"0 bd
1 ba
452 sf",0,1,452,Apt/Condo,Red_deer,Alberta
6,"1,084",Red Deer,"2 bd
1 ba
810 sf",2,1,810,Apt/Condo,Red_deer,Alberta
7,"1,084",Red Deer,"2 bd
1 ba
810 sf",2,1,810,Apt/Condo,Red_deer,Alberta
8,924,Red Deer,"0 bd
1 ba
452 sf",0,1,452,Apt/Condo,Red_deer,Alberta
9,924,Red Deer,"1 bd
1 ba
631 sf",1,1,631,Apt/Condo,Red_deer,Alberta
10,816,Red Deer,"0 bd
1 ba
0 sf",0,1,0,Apt/Condo,Red_deer,Alberta
11,"1,299",Red Deer,"2 bd
1 ba
988 sf",2,1,988,Apt/Condo,Red_deer,Alberta
12,"1,359",Red Deer,"2 bd
1 ba
875 sf",2,1,875,Apt/Condo,Red_deer,Alberta
13,"1,679",Red Deer,"3 bd
1 ba
1056 sf",3,1,1056,Townhouse,Red_deer,Alberta
14,"1,184",Red Deer,"3 bd
1 ba
1056 sf",3,1,1056,Townhouse,Red_deer,Alberta
15,"1,069",Red Deer,"2 bd
1 ba
770 sf",2,1,770,Apt/Condo,Red_deer,Alberta
16,995,Red Deer,"2 bd
1 ba
875 sf",2,1,875,Apt/Condo,Red_deer,Alberta
17,"1,147",Red Deer,"2 bd
1 ba
864 sf",2,1,864,Townhouse,Red_deer,Alberta
18,890,Red Deer,"2 bd
1 ba
806 sf",2,1,806,Apt/Condo,Red_deer,Alberta
19,826,Red Deer,"1 bd
1 ba
576 sf",1,1,576,Apt/Condo,Red_deer,Alberta
20,913,Red Deer,"2 bd
1 ba
846 sf",2,1,846,Apt/Condo,Red_deer,Alberta
21,975,Red Deer,"2 bd
1 ba
700 sf",2,1,700,Apt/Condo,Red_deer,Alberta
22,"1,075",Red Deer,"2 bd
2 ba
1050 sf",2,2,1050,Apt/Condo,Red_deer,Alberta
23,"1,175",Red Deer,"2 bd
2 ba",2,2,,Apt/Condo,Red_deer,Alberta
24,875,Red Deer,"1 bd
1 ba
620 sf",1,1,620,Apt/Condo,Red_deer,Alberta
25,"1,220",Red Deer,"3 bd
2 ba
1102 sf",3,2,1102,Townhouse,Red_deer,Alberta
26,"1,345",Red Deer,"3 bd
2 ba
1102 sf",3,2,1102,Townhouse,Red_deer,Alberta
27,"1,238",Red Deer,"V Tour

1 bd
1 ba
650 sf",1,,650,"


Apt/Condo",Red_deer,Alberta
28,"1,308",Red Deer,"V Tour

2 bd
2 ba
909 sf",2,,909,"


Apt/Condo",Red_deer,Alberta
29,"1,278",Red Deer,"V Tour

2 bd
1 ba
859 sf",2,,859,"


Apt/Condo",Red_deer,Alberta
30,901,Red Deer,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Red_deer,Alberta
31,889,Red Deer,"2 bd
1 ba",2,1,,Apt/Condo,Red_deer,Alberta
32,775,Red Deer,"1 bd
1 ba",1,1,,Apt/Condo,Red_deer,Alberta
33,"1,001",Red Deer,"2 bd
1 ba
821 sf",2,1,821,Apt/Condo,Red_deer,Alberta
34,911,Red Deer,"2 bd
2 ba
0 sf",2,2,0,Apt/Condo,Red_deer,Alberta
35,916,Red Deer,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Red_deer,Alberta
36,"1,095",Red Deer,"2 bd
1 ba
964 sf",2,1,964,Apt/Condo,Red_deer,Alberta
37,850,Red Deer,"1 bd
1 ba
650 sf",1,1,650,Apt/Condo,Red_deer,Alberta
38,825,Red Deer,"2 bd
1 ba
700 sf",2,1,700,Apt/Condo,Red_deer,Alberta
39,775,Red Deer,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Red_deer,Alberta
40,800,Red Deer,"1 bd
1 ba
850 sf",1,1,850,Apt/Condo,Red_deer,Alberta
41,950,Red Deer,"2 bd
1 ba
900 sf",2,1,900,Apt/Condo,Red_deer,Alberta
42,850,Red Deer,"1 bd
1 ba
689 sf",1,1,689,Apt/Condo,Red_deer,Alberta
43,950,Red Deer,"2 bd
1 ba
878 sf",2,1,878,Apt/Condo,Red_deer,Alberta
44,825,Red Deer,"1 bd
1 ba
689 sf",1,1,689,Apt/Condo,Red_deer,Alberta
45,925,Red Deer,"2 bd
1 ba
900 sf",2,1,900,Apt/Condo,Red_deer,Alberta
46,725,Red Deer,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Red_deer,Alberta
47,825,Red Deer,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Red_deer,Alberta
48,750,Red Deer,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Red_deer,Alberta
