,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"1,061",Saskatoon,"1 bd
1 ba
392 sf",1,1,392,Apt/Condo,Saskatoon,SK
1,"1,021",Saskatoon,"2 bd
1 ba
683 sf",2,1,683,Apt/Condo,Saskatoon,SK
2,"1,439",Saskatoon,"1 bd
1 ba
920 sf",1,1,920,Apt/Condo,Saskatoon,SK
3,"1,201",Saskatoon,"3 bd
1 ba
0 sf",3,1,0,Apt/Condo,Saskatoon,SK
4,926,Saskatoon,"2 bd
1 ba
780 sf",2,1,780,Apt/Condo,Saskatoon,SK
5,851,Saskatoon,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Saskatoon,SK
6,"1,181",Saskatoon,"3 bd
1 ba
1050 sf",3,1,1050,Apt/Condo,Saskatoon,SK
7,"1,051",Saskatoon,"2 bd
1 ba
785 sf",2,1,785,Apt/Condo,Saskatoon,SK
8,"1,200",Saskatoon,"3 bd
1 ba",3,1,,Apt/Condo,Saskatoon,SK
9,750,Saskatoon,"1 bd
1 ba
700 sf",1,1,700,Apt/Condo,Saskatoon,SK
10,"1,488",Saskatoon,"V Tour

2 bd
2 ba
1036 sf",2,,1036,"


Apt/Condo",Saskatoon,SK
11,631,Saskatoon,"1 bd
1 ba
480 sf",1,1,480,Apt/Condo,Saskatoon,SK
12,986,Saskatoon,"1 bd
1 ba
433 sf",1,1,433,Apt/Condo,Saskatoon,SK
13,976,Saskatoon,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Saskatoon,SK
14,"1,056",Saskatoon,"V Tour

2 bd
1 ba
750 sf",2,,750,"


Apt/Condo",Saskatoon,SK
15,"2,200",Saskatoon,"4 bd
3 ba
1200 sf",4,3,1200,House,Saskatoon,SK
16,856,Saskatoon,"1 bd
1 ba
591 sf",1,1,591,Apt/Condo,Saskatoon,SK
17,"1,066",Saskatoon,"2 bd
0 ba
0 sf",2,0,0,Apt/Condo,Saskatoon,SK
18,"1,154",Saskatoon,"2 bd
1 ba
759 sf",2,1,759,Apt/Condo,Saskatoon,SK
19,706,Saskatoon,"1 bd
1 ba
600 sf",1,1,600,Apt/Condo,Saskatoon,SK
20,891,Saskatoon,"0 bd
1 ba
435 sf",0,1,435,Apt/Condo,Saskatoon,SK
21,896,Saskatoon,"1 bd
1 ba
671 sf",1,1,671,Apt/Condo,Saskatoon,SK
22,"1,151",Saskatoon,"1 bd
1 ba
542 sf",1,1,542,Apt/Condo,Saskatoon,SK
23,751,Saskatoon,"0 bd
1 ba
388 sf",0,1,388,Apt/Condo,Saskatoon,SK
24,"1,050",Saskatoon,"2 bd
1 ba",2,1,,Apt/Condo,Saskatoon,SK
25,"1,600",Saskatoon,"3 bd
2 ba
1100 sf",3,2,1100,House,Saskatoon,SK
26,946,Saskatoon,"2 bd
1 ba
752 sf",2,1,752,Apt/Condo,Saskatoon,SK
27,"1,150",Saskatoon,"1 bd
1 ba
768 sf",1,1,768,Apt/Condo,Saskatoon,SK
28,"1,334",Saskatoon,"2 bd
1 ba
710 sf",2,1,710,Apt/Condo,Saskatoon,SK
29,"1,341",Saskatoon,"3 bd
0 ba
1400 sf",3,0,1400,Apt/Condo,Saskatoon,SK
30,"1,179",Saskatoon,"2 bd
0 ba
897 sf",2,0,897,Apt/Condo,Saskatoon,SK
31,901,Saskatoon,"1 bd
1 ba
627 sf",1,1,627,Apt/Condo,Saskatoon,SK
32,"1,076",Saskatoon,"1 bd
1 ba
652 sf",1,1,652,Apt/Condo,Saskatoon,SK
