,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"1,375",Chilliwack N Yale Well,"2 bd
1 ba
780 sf",2,1,780,Apt/Condo,chilliwack,BC
1,975,Chilliwack N Yale Well,"0 bd
1 ba
527 sf",0,1,527,Apt/Condo,chilliwack,BC
2,"1,155",Chilliwack N Yale Well,"1 bd
1 ba
550 sf",1,1,550,Apt/Condo,chilliwack,BC
3,975,Chilliwack N Yale Well,"0 bd
1 ba
400 sf",0,1,400,Apt/Condo,chilliwack,BC
4,"1,155",Chilliwack N Yale Well,"1 bd
1 ba
603 sf",1,1,603,Apt/Condo,chilliwack,BC
5,"1,375",Chilliwack N Yale Well,"2 bd
1 ba
869 sf",2,1,869,Apt/Condo,chilliwack,BC
6,975,Chilliwack E Young Yale,"0 bd
1 ba
450 sf",0,1,450,Apt/Condo,chilliwack,BC
7,"1,375",Chilliwack W Young Well,"2 bd
1 ba",2,1,,Apt/Condo,chilliwack,BC
8,"1,155",Chilliwack W Young Well,"1 bd
1 ba",1,1,,Apt/Condo,chilliwack,BC
9,"1,375",Chilliwack E Young Yale,"2 bd
1 ba
765 sf",2,1,765,Apt/Condo,chilliwack,BC
10,"1,175",Chilliwack E Young Yale,"1 bd
1 ba
626 sf",1,1,626,Apt/Condo,chilliwack,BC
11,"1,395",Chilliwack N Yale Well,"2 bd
1 ba",2,1,,Apt/Condo,chilliwack,BC
12,950,Chilliwack N Yale Well,"0 bd
1 ba",0,1,,Apt/Condo,chilliwack,BC
13,"1,300",Fairfield Island,"1 bd
1 ba
1016 sf",1,1,1016,House,chilliwack,BC
14,"1,275",Chilliwack E Young Yale,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,chilliwack,BC
15,"2,300",Chilliwack E Young Yale,"3 bd
2 ba
1420 sf",3,2,1420,House,chilliwack,BC
16,"2,200",Chilliwack E Young Yale,"3 bd
2 ba
1000 sf",3,2,1000,House,chilliwack,BC
