,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"2,100",Creditview,"1 bd
1 ba
610 sf",1,1,610,Apt/Condo,mississauga,Ontario
1,"2,100",Creditview,"1 bd
1 ba
600 - 699 sf",1,1,600,Apt/Condo,mississauga,Ontario
2,"3,900",East Credit,"4 + 2 bd
4 ba
1500 - 2000 sf",4 + 2,4,1500,House,mississauga,Ontario
3,"2,050",Creditview,"1 + 1 bd
1 ba
500 - 599 sf",1 + 1,1,500,Apt/Condo,mississauga,Ontario
4,"1,950",Cooksville,"3 bd
1 ba",3,1,,Apt/Condo,mississauga,Ontario
5,"1,819",Erindale,"2 bd
0 ba",2,0,,Apt/Condo,mississauga,Ontario
6,"2,600",Cooksville,"2 + 1 bd
2 ba
900 - 999 sf",2 + 1,2,900,Townhouse,mississauga,Ontario
7,"2,450",Cooksville,"2 bd
2 ba
900 - 999 sf",2,2,900,Townhouse,mississauga,Ontario
8,"2,200",Cooksville,"2 bd
1 ba
1500 - 2000 sf
50 x 123 ft",2,1,1500,House,mississauga,Ontario
9,"3,000",Hurontario,"3 bd
4 ba
36 x 98 ft",3,4,36,House,mississauga,Ontario
10,"1,619",Cooksville,"1 bd
0 ba",1,0,,Apt/Condo,mississauga,Ontario
11,"3,200",Clarkson,"3 bd
2 ba
50 x 125 ft",3,2,50,House,mississauga,Ontario
12,"1,649",Malton,"1 bd
1 ba",1,1,,Apt/Condo,mississauga,Ontario
13,"1,995",Hurontario,"1 bd
1 ba
600 - 699 sf",1,1,600,Apt/Condo,mississauga,Ontario
14,"1,999",Mississauga City Centre,"1 bd
1 ba
635 sf",1,1,635,Apt/Condo,mississauga,Ontario
15,"1,725",Applewood,"V Tour

2 bd
1 ba
750 sf",2,,750,"


Apt/Condo",mississauga,Ontario
16,"2,349",Malton,"3 bd
1 ba",3,1,,Apt/Condo,mississauga,Ontario
17,"8,900",Mississauga City Centre,"4 bd
4 ba
3250 - 3499 sf",4,4,3250,Apt/Condo,mississauga,Ontario
18,"2,199",Mississauga Valleys,"V Tour

2 bd
1 ba
978 sf",2,,978,"


Apt/Condo",mississauga,Ontario
19,"1,864",Mississauga Valleys,"1 bd
1 ba
640 sf",1,1,640,Apt/Condo,mississauga,Ontario
20,"1,739",Mississauga Valleys,"1 bd
1 ba
574 sf",1,1,574,Apt/Condo,mississauga,Ontario
21,"1,975",Mississauga Valleys,"2 bd
1 ba
910 sf",2,1,910,Apt/Condo,mississauga,Ontario
22,"4,600",Lisgar,"5 bd
4 ba
2200 sf",5,4,2200,House,mississauga,Ontario
23,"3,200",Lisgar,"4 bd
3 ba
2200 sf",4,3,2200,House,mississauga,Ontario
24,"1,400",Lisgar,"1 bd
1 ba
800 sf",1,1,800,House,mississauga,Ontario
25,"1,959",Mississauga Valleys,"V Tour

2 bd
1 ba
805 sf",2,,805,"


Apt/Condo",mississauga,Ontario
