,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"1,001",Yorkton,"3 bd
1 ba
0 sf",3,1,0,Apt/Condo,yorkton,SK
1,851,Yorkton,"2 bd
1 ba
851 sf",2,1,851,Apt/Condo,yorkton,SK
2,751,Yorkton,"1 bd
1 ba
618 sf",1,1,618,Apt/Condo,yorkton,SK
3,751,Yorkton,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,yorkton,SK
4,801,Yorkton,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,yorkton,SK
5,"1,026",Yorkton,"3 bd
1 ba
808 sf",3,1,808,Apt/Condo,yorkton,SK
6,626,Yorkton,"0 bd
1 ba
306 sf",0,1,306,Apt/Condo,yorkton,SK
7,701,Yorkton,"1 bd
1 ba
615 sf",1,1,615,Apt/Condo,yorkton,SK
8,626,Yorkton,"0 bd
1 ba
362 sf",0,1,362,Apt/Condo,yorkton,SK
9,901,Yorkton,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,yorkton,SK
10,901,Yorkton,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,yorkton,SK
11,901,Yorkton,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,yorkton,SK
12,626,Yorkton,"0 bd
1 ba
295 sf",0,1,295,Apt/Condo,yorkton,SK
13,751,Yorkton,"1 bd
1 ba
486 sf",1,1,486,Apt/Condo,yorkton,SK
14,"1,001",Yorkton,"3 bd
1 ba
0 sf",3,1,0,Apt/Condo,yorkton,SK
15,"1,051",Yorkton,"3 bd
1 ba
808 sf",3,1,808,Apt/Condo,yorkton,SK
16,801,Yorkton,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,yorkton,SK
17,776,Yorkton,"1 bd
1 ba
565 sf",1,1,565,Apt/Condo,yorkton,SK
18,826,Yorkton,"2 bd
1 ba
694 sf",2,1,694,Apt/Condo,yorkton,SK
19,851,Yorkton,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,yorkton,SK
20,826,Yorkton,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,yorkton,SK
21,976,Yorkton,"3 bd
1 ba
806 sf",3,1,806,Apt/Condo,yorkton,SK
22,826,Yorkton,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,yorkton,SK
23,876,Yorkton,"2 bd
1 ba
622 sf",2,1,622,Apt/Condo,yorkton,SK
24,715,Yorkton,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,yorkton,SK
25,701,Yorkton,"0 bd
1 ba
0 sf",0,1,0,Apt/Condo,yorkton,SK
26,826,Yorkton,"2 bd
1 ba
694 sf",2,1,694,Apt/Condo,yorkton,SK
27,651,Yorkton,"0 bd
1 ba
334 sf",0,1,334,Apt/Condo,yorkton,SK
28,626,Yorkton,"0 bd
1 ba
0 sf",0,1,0,Townhouse,yorkton,SK
29,951,Yorkton,"2 bd
1 ba
700 sf",2,1,700,Apt/Condo,yorkton,SK
30,826,Yorkton,"1 bd
1 ba
615 sf",1,1,615,Apt/Condo,yorkton,SK
31,801,Yorkton,"1 bd
1 ba
502 sf",1,1,502,Apt/Condo,yorkton,SK
32,951,Yorkton,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,yorkton,SK
33,926,Yorkton,"2 bd
1 ba
709 sf",2,1,709,Apt/Condo,yorkton,SK
34,600,Yorkton,"0 bd
1 ba
0 sf",0,1,0,Apt/Condo,yorkton,SK
35,761,Yorkton,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,yorkton,SK
36,951,Yorkton,"3 bd
1 ba
806 sf",3,1,806,Apt/Condo,yorkton,SK
37,951,Yorkton,"3 bd
1 ba
806 sf",3,1,806,Apt/Condo,yorkton,SK
38,851,Yorkton,"2 bd
1 ba
709 sf",2,1,709,Apt/Condo,yorkton,SK
