,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city
0,"1,300",Southcrest,"2 bd
1 ba",2,1,,Duplex,London
1,"1,595",Glen Cairn,"2 bd
1 ba",2,1,,Apt/Condo,London
2,"2,150",Sunningdale,"V Tour

2 bd
2 ba
1185 sf",2,,1185,"


Apt/Condo",London
3,"2,095",Oakridge,"2 bd
2 ba",2,2,,Townhouse,London
4,"1,895",Sunningdale,"1 bd
1 ba
893 sf",1,1,893,Apt/Condo,London
5,"2,349",Sunningdale,"2 bd
2 ba
1401 sf",2,2,1401,Apt/Condo,London
6,"1,250",South London,"1 bd
1 ba",1,1,,Apt/Condo,London
7,"1,400",South London,"2 bd
1 ba
732 sf",2,1,732,Apt/Condo,London
8,"1,350",Glen Cairn,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",London
9,"1,250",Southcrest,"V Tour

1 bd
1 ba
750 sf",1,,750,"


Apt/Condo",London
10,"1,865",Central London,"2 bd
1 ba
1169 sf",2,1,1169,Apt/Condo,London
11,"1,600",Central London,"1 bd
1 ba
811 sf",1,1,811,Apt/Condo,London
12,"1,650",Central London,"1 bd
1 ba
858 sf",1,1,858,Apt/Condo,London
13,"1,499",Highland,"2 bd
1 ba
1006 sf",2,1,1006,Apt/Condo,London
14,"1,279",London,"1 bd
1 ba
698 sf",1,1,698,Apt/Condo,London
15,"1,350",Southcrest,"V Tour

2 bd
1 ba
700 sf",2,,700,"


Apt/Condo",London
16,"2,975",Lambeth,"4 bd
3 ba
1691 sf",4,3,1691,Townhouse,London
17,"1,350",London,"1 bd
1 ba",1,1,,Apt/Condo,London
18,875,Glen Cairn,"1 bd
1 ba",1,1,,Apt/Condo,London
19,950,Glen Cairn,"2 bd
1 ba",2,1,,Apt/Condo,London
20,950,Carling,"1 bd
1 ba",1,1,,Apt/Condo,London
21,"1,250",London,"V Tour

1 bd
1 ba
600 sf",1,,600,"


Apt/Condo",London
22,995,London,"1 bd
1 ba",1,1,,Apt/Condo,London
23,"2,450",Lambeth,"3 bd
3 ba
1451 sf",3,3,1451,Townhouse,London
24,"1,195",London,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",London
25,995,Huron Heights,"0 bd
1 ba",0,1,,Apt/Condo,London
26,"1,025",Central London,"V Tour

0 bd
1 ba",0,,,"


Apt/Condo",London
27,"1,199",London,"1 bd
1 ba
550 sf",1,1,550,Apt/Condo,London
28,"1,250",South London,"V Tour

1 bd
1 ba
604 sf",1,,604,"


Apt/Condo",London
29,"1,250",East London,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",London
30,"1,395",London,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",London
31,"2,297",Bostwick,"3 bd
3 ba",3,3,,Townhouse,London
32,"2,297",Bostwick,"3 bd
3 ba",3,3,,Townhouse,London
33,"2,297",Bostwick,"3 bd
3 ba",3,3,,Townhouse,London
34,"2,297",Bostwick,"3 bd
3 ba",3,3,,Townhouse,London
35,"2,500",Jackson,"4 bd
4 ba
1737 sf",4,4,1737,Townhouse,London
36,"2,650",Longwoods,"4 bd
4 ba
2000 - 2500 sf",4,4,2000,House,London
37,"2,350",Hamilton Road,"3 bd
1 ba
50 x 150 ft",3,1,50,House,London
38,"2,700",Hyde Park,"3 bd
2 ba
2500 - 3000 sf
50 x 116 ft",3,2,2500,House,London
39,"2,400",River Bend,"3 bd
3 ba
1600 - 1799 sf",3,3,1600,Apt/Condo,London
40,"2,600",Jackson,"3 bd
3 ba",3,3,,House,London
41,"1,399",Glen Cairn,"1 bd
1 ba",1,1,,House,London
42,"2,500",River Bend,"V Tour

3 + 1 bd
4 ba
1600 - 1799 sf",3 + 1,,1600,"


Townhouse",London
43,"2,699",Huron Heights,"3 bd
3 ba
1500 - 2000 sf
36 x 106 ft",3,3,1500,House,London
44,"2,500",Huron Heights,"3 bd
3 ba",3,3,,Townhouse,London
45,"2,700",Jackson,"4 bd
4 ba
2500 - 3000 sf",4,4,2500,House,London
46,"2,600",Hyde Park,"3 bd
3 ba
103 x 36 ft",3,3,103,House,London
47,"3,450",Hyde Park,"4 bd
3 ba",4,3,,House,London
48,"2,500",London,"4 bd
3 ba
1650 sf",4,3,1650,Townhouse,London
49,"2,300",Jackson,"4 bd
4 ba",4,4,,Townhouse,London
50,"1,599",Carling,"2 bd
1 ba
600 - 699 sf",2,1,600,Apt/Condo,London
51,"2,700",Westmount,"4 bd
3 ba",4,3,,House,London
52,"2,450",Huron Heights,"3 bd
3 ba
1500 - 2000 sf
23 x 102 ft",3,3,1500,House,London
