,price,Address,bedroom,bathroom,size_sqf,types,city,province
0,2200,370 Rue des Seigneurs,1,1,804,House,Montreal,Quebec
1,2745,3660 Av. du Musee,2,1,900,House,Montreal,Quebec
2,2350,370 Rue des Seigneurs,1,1,888,House,Montreal,Quebec
3,3069,4300 Boul. De Maisonneuve O.,2,2,1292,House,Montreal,Quebec
4,2115,6850 Boul. Newman,3,2,1166,House,Montreal,Quebec
5,1900,1417 Av. Argyle,3,1,1250,House,Montreal,Quebec
6,1995,1604 Av. des Pins,2,1,1500,House,Montreal,Quebec
7,6500,400 Rue Richmond,2,2,980,House,Montreal,Quebec
8,4300,2140 Lucerne,5,3,2000,House,Montreal,Quebec
9,2350,370 Rue des Seigneurs,1,1,826,House,Montreal,Quebec
10,1590,2020 Boul. Rene-Levesque O.,2,1,690,House,Montreal,Quebec
11,2145,6250 Av. Lennox,2,2,980,House,Montreal,Quebec
12,2100,6250 Av. Lennox,1,1,705,House,Montreal,Quebec
13,1634,6250 Av. Lennox,1,1,750,House,Montreal,Quebec
14,1575,6850A Boul. Newman,2,1,832,House,Montreal,Quebec
15,1595,1491 Rue Rachel E.,2,1,1400,House,Montreal,Quebec
16,1980,6250 Av. Lennox,2,1,945,House,Montreal,Quebec
17,2200,1288 Rue St-Antoine O. #2308,2,1,600,House,Montreal,Quebec
18,1700,370 Rue des Seigneurs,1,1,659,House,Montreal,Quebec
19,1670,6250 Av. Lennox,1,1,750,House,Montreal,Quebec
20,1825,6800 Boul. Newman,2,2,979,House,Montreal,Quebec
21,1595,2995 Av. Ernest-Hemingway,2,1,1020,House,Montreal,Quebec
22,5199,365 Rue St-Andre,2,2,1420,House,Montreal,Quebec
23,2150,221 de la Commune O.,1,1,850,House,Montreal,Quebec
24,2000,400 Rue Sherbrooke O.,1,1,700,House,Montreal,Quebec
25,2000,210 Rue De La Gauchetiere O.,1,1,600,House,Montreal,Quebec
26,2500,370 Rue des Seigneurs,2,1,1074,House,Montreal,Quebec
27,2950,629 Av. du Docteur-Penfield,4,2,1600,House,Montreal,Quebec
28,1315,6760 Boul. Newman,1,1,544,House,Montreal,Quebec
29,6150,400 Rue Richmond,3,2,1370,House,Montreal,Quebec
30,2000,370 Rue des Seigneurs,1,1,763,House,Montreal,Quebec
31,1595,1200 Rue St-Alexandre,1,1,545,House,Montreal,Quebec
32,1750,370 Rue des Seigneurs,1,1,659,House,Montreal,Quebec
33,2000,400 Rue Sherbrooke O.,1,1,695,House,Montreal,Quebec
34,1525,6850 Boul. Newman,2,1,786,House,Montreal,Quebec
35,1650,2075 Av. de l'Eglise,2,1,900,House,Montreal,Quebec
36,2079,2255 Rue Lambert-Closse,2,1,857,House,Montreal,Quebec
37,2159,2255 Rue Lambert-Closse,2,1,1012,House,Montreal,Quebec
38,2400,370 Rue des Seigneurs,1,1,804,House,Montreal,Quebec
39,4500,1237 Rue St-Marc,4,2,2050,House,Montreal,Quebec
40,1500,1400 rue Ottawa,1,1,550,House,Montreal,Quebec
41,2850,370 Rue des Seigneurs,2,2,1024,House,Montreal,Quebec
42,1925,6250 Av. Lennox,2,1,965,House,Montreal,Quebec
43,1900,411 Rue des Recollets,1,1,583,House,Montreal,Quebec
44,2300,286,3,1,1320,House,Montreal,Quebec
45,2130,6850 Boul. Newman,3,2,1166,House,Montreal,Quebec
