,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city
0,"1,865",Centennial,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Oshawa
1,"1,709",O'neill,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Oshawa
2,"1,931",Vanier,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Oshawa
3,"2,117",Vanier,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Oshawa
4,"1,835",O'neill,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Oshawa
5,"2,090",O'neill,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Oshawa
6,"1,375",Vanier,"2 bd
1 ba
650 sf",2,1,650,Apt/Condo,Oshawa
7,"1,674",Centennial,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Oshawa
8,"1,931",Centennial,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Oshawa
9,"2,269",Centennial,"V Tour

3 bd
1 ba",3,,,"


Apt/Condo",Oshawa
10,"2,259",Mclaughlin,"3 bd
1 ba",3,1,,Apt/Condo,Oshawa
11,"1,725",O'neill,"2 bd
1 ba",2,1,,Duplex,Oshawa
12,"1,669",Vanier,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Oshawa
13,"2,550",Vanier,"V Tour

3 bd
1 ba",3,,,"


Apt/Condo",Oshawa
14,"1,500",Vanier,"V Tour

0 bd
1 ba",0,,,"


Apt/Condo",Oshawa
15,"1,858",Vanier,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Oshawa
16,"1,695",Lakeview,"2 bd
1 ba
750 sf",2,1,750,Apt/Condo,Oshawa
17,"3,160",Taunton,"1 bd
1 ba",1,1,,Apt/Condo,Oshawa
18,"1,598",Central Oshawa,"2 bd
1 ba
474 sf",2,1,474,Apt/Condo,Oshawa
19,"1,898",Central Oshawa,"2 bd
1 ba
474 sf",2,1,474,Apt/Condo,Oshawa
20,"1,050",Central Oshawa,"0 bd
1 ba
269 sf",0,1,269,Apt/Condo,Oshawa
21,"1,450",Lakeview,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Oshawa
22,"1,600",Lakeview,"2 bd
1 ba",2,1,,Apt/Condo,Oshawa
23,"1,950",O'neill,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Oshawa
24,"1,500",Lakeview,"2 bd
1 ba",2,1,,Apt/Condo,Oshawa
25,"2,700",Windfields,"4 bd
3 ba
1600 - 1799 sf",4,3,1600,Townhouse,Oshawa
26,"2,600",Stevenson,"2 + 1 bd
1 ba
1100 - 1500 sf",2 + 1,1,1100,House,Oshawa
27,"1,600",Vanier,"2 bd
1 ba",2,1,,House,Oshawa
28,"1,600",Central Oshawa,"2 bd
2 ba",2,2,,House,Oshawa
29,"1,595",O'neill,"1 bd
1 ba",1,1,,Duplex,Oshawa
30,"2,000",Taunton,"3 bd
2 ba
39 x 113 ft",3,2,39,House,Oshawa
31,"2,195",O'neill,"2 bd
1 ba",2,1,,House,Oshawa
32,"4,000",Rural Oshawa,"4 bd
3 ba",4,3,,House,Oshawa
33,"2,390",Donevan,"3 bd
1 ba",3,1,,House,Oshawa
34,"1,450",Mclaughlin,"2 bd
1 ba",2,1,,House,Oshawa
35,"2,300",Mclaughlin,"3 bd
1 ba",3,1,,House,Oshawa
36,"2,600",Vanier,"3 bd
1 ba",3,1,,House,Oshawa
37,"3,700",Windfields,"6 bd
4 ba",6,4,,House,Oshawa
38,"2,285",O'neill,"3 bd
2 ba
35 x 50 ft",3,2,35,House,Oshawa
39,"2,300",Central Oshawa,"2 bd
1 ba",2,1,,Apt/Condo,Oshawa
