,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city
0,"1,629",Briar Green Leslie Park,"V Tour

1 bd
1 ba
714 sf",1,,714,"


Apt/Condo",Ottawa
1,"1,999",Briar Green Leslie Park,"V Tour

2 bd
1 ba
1244 sf",2,,1244,"


Apt/Condo",Ottawa
2,"1,735",Briar Green Leslie Park,"2 bd
1 ba
749 sf",2,1,749,Apt/Condo,Ottawa
3,"2,750",West Centretown,"2 bd
1 ba
1062 sf",2,1,1062,Apt/Condo,Ottawa
4,"1,399",Centretown,"V Tour

1 bd
1 ba
483 sf",1,,483,"


Apt/Condo",Ottawa
5,"1,699",Crystal Bay Lakeview Park,"V Tour

2 bd
1 ba
0 sf",2,,0,"


Apt/Condo",Ottawa
6,"2,200",Ledbury Heron Gate Ridgemont,"3 bd
2 ba",3,2,,Townhouse,Ottawa
7,"1,650",Glebe Dows Lake,"1 bd
1 ba
504 sf",1,1,504,Apt/Condo,Ottawa
8,"1,650",Glebe Dows Lake,"1 bd
1 ba
478 sf",1,1,478,Apt/Condo,Ottawa
9,990,Bayshore Belltown,"0 bd
1 ba",0,1,,Apt/Condo,Ottawa
10,"1,225",West Centretown,"2 bd
1 ba",2,1,,Apt/Condo,Ottawa
11,"1,895",Byward Market,"1 bd
1 ba",1,1,,Apt/Condo,Ottawa
12,"2,100",Manor Park,"2 bd
1 ba",2,1,,Apt/Condo,Ottawa
13,"1,800",Overbrook Mcarthur,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottawa
14,"1,350",Vanier North,"1 bd
1 ba",1,1,,Apt/Condo,Ottawa
15,"1,259",Whitehaven Queensway Terrace North,"1 bd
1 ba",1,1,,Apt/Condo,Ottawa
16,"1,499",Hawthorne Meadows Sheffield Glen,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottawa
17,"1,419",Whitehaven Queensway Terrace North,"1 bd
1 ba",1,1,,Apt/Condo,Ottawa
18,"1,599",Whitehaven Queensway Terrace North,"2 bd
1 ba",2,1,,Apt/Condo,Ottawa
19,"2,300",Civic Hospital Central Park,"3 bd
2 ba",3,2,,Multifamily,Ottawa
20,"1,800",Cardinal Creek,"2 bd
2 ba",2,2,,Apt/Condo,Ottawa
21,"1,100",Overbrook Mcarthur,"V Tour

0 bd
1 ba",0,,,"


Apt/Condo",Ottawa
22,"2,700",Billings Bridge Alta Vista,"3 bd
2 ba",3,2,,House,Ottawa
23,"2,199",Glebe Dows Lake,"V Tour

1 bd
2 ba
633 sf",1,,633,"


Apt/Condo",Ottawa
24,"2,819",Glebe Dows Lake,"2 bd
2 ba
919 sf",2,2,919,Apt/Condo,Ottawa
25,"2,449",Glebe Dows Lake,"2 bd
1 ba
670 sf",2,1,670,Apt/Condo,Ottawa
26,"2,300",Portobello South,"3 bd
3 ba",3,3,,Townhouse,Ottawa
27,"2,459",Glebe Dows Lake,"2 bd
2 ba
726 sf",2,2,726,Apt/Condo,Ottawa
28,"2,219",Glebe Dows Lake,"V Tour

1 bd
1 ba
673 sf",1,,673,"


Apt/Condo",Ottawa
29,"1,839",Glebe Dows Lake,"V Tour

1 bd
1 ba
457 sf",1,,457,"


Apt/Condo",Ottawa
30,"1,499",Ledbury Heron Gate Ridgemont,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Ottawa
31,"1,225",Ledbury Heron Gate Ridgemont,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottawa
32,"1,965",Manor Park,"1 bd
1 ba",1,1,,Apt/Condo,Ottawa
33,"2,450",Hunt Club Upper Blossom Park Timbermill,"3 bd
3 ba",3,3,,House,Ottawa
34,"2,399",Westboro,"1 bd
1 ba
858 sf",1,1,858,Apt/Condo,Ottawa
35,"2,200",Greenboro East,"3 bd
3 ba",3,3,,Townhouse,Ottawa
36,"1,475",Elmvale Canterbury,"1 bd
1 ba
600 sf",1,1,600,Apt/Condo,Ottawa
37,"1,975",Glebe Dows Lake,"2 bd
1 ba
718 sf",2,1,718,Apt/Condo,Ottawa
38,"3,200",Findlay Creek,"4 bd
3 ba",4,3,,House,Ottawa
39,"1,700",Sandy Hill,"1 bd
1 ba",1,1,,Apt/Condo,Ottawa
40,"2,425",Stonebridge Half Moon Bay Heart's Desire,"3 bd
3 ba",3,3,,House,Ottawa
41,"2,300",Findlay Creek,"3 bd
3 ba",3,3,,Townhouse,Ottawa
42,"2,500",Centretown,"2 bd
2 ba",2,2,,Apt/Condo,Ottawa
43,"2,050",Vanier North,"3 bd
1 ba",3,1,,Duplex,Ottawa
44,"1,699",West Centretown,"1 bd
1 ba
455 sf",1,1,455,Apt/Condo,Ottawa
45,"2,325",West Centretown,"2 bd
1 ba
665 sf",2,1,665,Apt/Condo,Ottawa
46,"1,375",Centretown,"0 bd
1 ba",0,1,,Apt/Condo,Ottawa
47,"1,100",Whitehaven Queensway Terrace North,"V Tour

1 bd
1 ba
500 sf",1,,500,"


Fourplex",Ottawa
48,"1,650",Overbrook Mcarthur,"1 bd
1 ba",1,1,,Apt/Condo,Ottawa
49,"1,100",Lowertown,"V Tour

0 bd
1 ba",0,,,"


Apt/Condo",Ottawa
50,"1,400",Hintonburg Mechanicsville,"1 bd
1 ba",1,1,,Apt/Condo,Ottawa
51,"3,000",Elmvale Canterbury,"3 bd
2 ba
1586 sf",3,2,1586,Townhouse,Ottawa
52,"1,350",Hintonburg Mechanicsville,"0 bd
1 ba
400 sf",0,1,400,Apt/Condo,Ottawa
53,"2,200",Cardinal Creek,"3 bd
1 ba",3,1,,Duplex,Ottawa
54,"3,000",Lebreton Development,"2 bd
2 ba",2,2,,Apt/Condo,Ottawa
55,"2,000",Centretown,"3 bd
1 ba
1000 sf",3,1,1000,Apt/Condo,Ottawa
56,"1,199",Carlington,"0 bd
1 ba
314 sf",0,1,314,Apt/Condo,Ottawa
57,"2,250",Glebe Dows Lake,"1 bd
2 ba",1,2,,Apt/Condo,Ottawa
58,"1,399",Sandy Hill,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottawa
59,"1,599",Crystal Bay Lakeview Park,"V Tour

1 bd
1 ba
664 sf",1,,664,"


Apt/Condo",Ottawa
60,"1,895",Lowertown,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Ottawa
61,"1,994",Old Ottawa East,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Ottawa
62,"1,531",Old Ottawa East,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottawa
63,"2,205",Elmvale Canterbury,"3 bd
2 ba
1115 sf",3,2,1115,Apt/Condo,Ottawa
64,"1,900",Bridlewood Emerald Meadows,"2 bd
1 ba",2,1,,Apt/Condo,Ottawa
65,"1,455",Sandy Hill,"0 bd
1 ba
233 sf",0,1,233,Apt/Condo,Ottawa
66,750,Carlingwood West Glabar Park Mckellar Heights,"1 bd
1 ba",1,1,,Multifamily,Ottawa
67,"1,199",Carlington,"V Tour

1 bd
1 ba
433 sf",1,,433,"


Apt/Condo",Ottawa
68,"2,700",Glebe Dows Lake,"2 bd
1 ba",2,1,,Apt/Condo,Ottawa
69,"1,825",Vanier North,"1 bd
1 ba",1,1,,Apt/Condo,Ottawa
70,"1,225",Byward Market,"1 bd
1 ba
425 sf",1,1,425,Apt/Condo,Ottawa
71,"1,699",West Centretown,"1 bd
1 ba
478 sf",1,1,478,Apt/Condo,Ottawa
72,"1,655",Hawthorne Meadows Sheffield Glen,"V Tour

2 bd
1 ba
939 sf",2,,939,"


Apt/Condo",Ottawa
73,"1,699",Briar Green Leslie Park,"V Tour

1 bd
1 ba
593 sf",1,,593,"


Apt/Condo",Ottawa
74,"1,999",Briar Green Leslie Park,"V Tour

2 bd
1 ba
905 sf",2,,905,"


Apt/Condo",Ottawa
75,"1,859",Briar Green Leslie Park,"V Tour

2 bd
1 ba
749 sf",2,,749,"


Apt/Condo",Ottawa
76,"1,450",Centretown,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottawa
77,"1,999",Briar Green Leslie Park,"2 bd
2 ba
1150 sf",2,2,1150,Apt/Condo,Ottawa
78,"1,699",Crystal Bay Lakeview Park,"V Tour

2 bd
1 ba
802 sf",2,,802,"


Apt/Condo",Ottawa
79,"1,765",Hawthorne Meadows Sheffield Glen,"V Tour

2 bd
1 ba
871 sf",2,,871,"


Apt/Condo",Ottawa
80,"1,635",Hawthorne Meadows Sheffield Glen,"V Tour

2 bd
1 ba
871 sf",2,,871,"


Apt/Condo",Ottawa
81,"1,465",Hawthorne Meadows Sheffield Glen,"V Tour

1 bd
1 ba
651 sf",1,,651,"


Apt/Condo",Ottawa
82,"1,755",Hawthorne Meadows Sheffield Glen,"V Tour

2 bd
1 ba
939 sf",2,,939,"


Apt/Condo",Ottawa
83,"1,600",Lindenlea New Edinburgh,"1 bd
1 ba",1,1,,Apt/Condo,Ottawa
84,"1,500",Centretown,"1 bd
1 ba
630 sf",1,1,630,Apt/Condo,Ottawa
85,"1,600",Centretown,"2 bd
1 ba",2,1,,Apt/Condo,Ottawa
86,"1,850",Sandy Hill,"2 bd
1 ba",2,1,,Apt/Condo,Ottawa
87,"2,000",Overbrook Mcarthur,"3 bd
1 ba",3,1,,Multifamily,Ottawa
88,"1,780",Vanier South,"2 bd
1 ba",2,1,,Multifamily,Ottawa
89,"1,510",Hawthorne Meadows Sheffield Glen,"V Tour

1 bd
1 ba
651 sf",1,,651,"


Apt/Condo",Ottawa
90,"1,449",Iris Queensway Terrance South,"V Tour

1 bd
1 ba
0 sf",1,,0,"


Apt/Condo",Ottawa
91,"2,385",Orléans Village Chateauneuf,"3 bd
3 ba",3,3,,Apt/Condo,Ottawa
92,"1,700",Glebe Dows Lake,"1 bd
1 ba
504 sf",1,1,504,Apt/Condo,Ottawa
93,"1,850",Glebe Dows Lake,"1 bd
1 ba
546 sf",1,1,546,Apt/Condo,Ottawa
94,"1,700",Glebe Dows Lake,"1 bd
1 ba
504 sf",1,1,504,Apt/Condo,Ottawa
95,"1,700",Glebe Dows Lake,"1 bd
1 ba
508 sf",1,1,508,Apt/Condo,Ottawa
96,"1,700",Glebe Dows Lake,"1 bd
1 ba
508 sf",1,1,508,Apt/Condo,Ottawa
97,"1,300",West Centretown,"1 bd
1 ba",1,1,,Multifamily,Ottawa
98,"1,600",Centretown,"1 bd
1 ba",1,1,,Multifamily,Ottawa
99,"1,215",Hunt Club East Western Community,"0 bd
1 ba",0,1,,Apt/Condo,Ottawa
100,"2,250",Cardinal Creek,"3 bd
4 ba",3,4,,Townhouse,Ottawa
101,"1,999",Centretown,"2 bd
1 ba",2,1,,Apt/Condo,Ottawa
102,"1,550",Sandy Hill,"0 bd
1 ba",0,1,,Apt/Condo,Ottawa
103,"1,950",Sandy Hill,"1 bd
1 ba",1,1,,Apt/Condo,Ottawa
104,"1,950",Sandy Hill,"1 bd
1 ba",1,1,,Apt/Condo,Ottawa
105,"2,450",Sandy Hill,"2 bd
2 ba",2,2,,Apt/Condo,Ottawa
106,"2,725",Skyline Fisher Heights,"4 bd
3 ba",4,3,,House,Ottawa
107,"2,199",Centretown,"2 bd
1 ba",2,1,,Apt/Condo,Ottawa
108,"1,259",Vanier South,"0 bd
1 ba",0,1,,Apt/Condo,Ottawa
109,"1,850",West Centretown,"1 bd
1 ba
360 sf",1,1,360,Apt/Condo,Ottawa
110,"1,325",West Centretown,"2 bd
2 ba",2,2,,Apt/Condo,Ottawa
111,"1,695",Lowertown,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottawa
112,"2,350",Hintonburg Mechanicsville,"V Tour

1 bd
1 ba
491 sf",1,,491,"


Apt/Condo",Ottawa
113,"1,400",Bayshore Belltown,"1 bd
1 ba",1,1,,Apt/Condo,Ottawa
114,"2,350",Hintonburg Mechanicsville,"V Tour

1 bd
1 ba
756 sf",1,,756,"


Apt/Condo",Ottawa
115,"1,535",Hintonburg Mechanicsville,"V Tour

0 bd
1 ba
261 sf",0,,261,"


Apt/Condo",Ottawa
116,"1,299",Centretown,"V Tour

1 bd
1 ba
420 sf",1,,420,"


Apt/Condo",Ottawa
117,"1,000",Island Park Wellington Village,"1 bd
1 ba",1,1,,Multifamily,Ottawa
118,"1,395",Vanier North,"0 bd
1 ba",0,1,,Apt/Condo,Ottawa
119,"1,692",Whitehaven Queensway Terrace North,"2 bd
1 ba",2,1,,Apt/Condo,Ottawa
120,"1,300",West Centretown,"1 bd
1 ba",1,1,,Duplex,Ottawa
121,"1,995",Old Ottawa East,"2 bd
1 ba",2,1,,Apt/Condo,Ottawa
122,"2,995",Stittsville,"4 bd
3 ba",4,3,,House,Ottawa
123,"2,399",Vanier North,"3 bd
2 ba",3,2,,Apt/Condo,Ottawa
124,"1,579",Vanier North,"1 bd
1 ba",1,1,,Apt/Condo,Ottawa
125,"2,049",Old Ottawa East,"2 bd
1 ba",2,1,,Apt/Condo,Ottawa
126,"2,999",Sandy Hill,"4 bd
2 ba",4,2,,Apt/Condo,Ottawa
127,"1,800",Centretown,"2 bd
1 ba
1007 sf",2,1,1007,Apt/Condo,Ottawa
128,"1,600",Sandy Hill,"1 bd
1 ba",1,1,,Apt/Condo,Ottawa
129,"1,299",Centretown,"0 bd
1 ba",0,1,,Apt/Condo,Ottawa
130,"1,749",Centretown,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Ottawa
131,"3,900",Centretown,"3 bd
1 ba",3,1,,House,Ottawa
132,"2,650",Westboro,"V Tour

2 bd
1 ba
784 sf",2,,784,"


Apt/Condo",Ottawa
133,"1,650",Centretown,"2 bd
1 ba",2,1,,Multifamily,Ottawa
134,"2,400",Carleton Heights Rideauview,"4 bd
4 ba",4,4,,House,Ottawa
135,"1,600",Byward Market,"V Tour

0 bd
1 ba",0,,,"


Apt/Condo",Ottawa
136,"1,350",Ottawa,"1 bd
1 ba
550 sf",1,1,550,Apt/Condo,Ottawa
137,"3,000",Billings Bridge Alta Vista,"3 bd
2 ba",3,2,,House,Ottawa
138,"2,500",Glebe Dows Lake,"4 bd
1 ba",4,1,,Apt/Condo,Ottawa
139,"1,495",Centretown,"2 bd
1 ba",2,1,,Apt/Condo,Ottawa
140,"1,550",Ottawa,"2 bd
1 ba",2,1,,Apt/Condo,Ottawa
