,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"1,629",Briar Green Leslie Park,"V Tour

1 bd
1 ba
714 sf",1,,714,"


Apt/Condo",Ottowa,Ontario
1,"1,999",Briar Green Leslie Park,"V Tour

2 bd
1 ba
1244 sf",2,,1244,"


Apt/Condo",Ottowa,Ontario
2,"1,735",Briar Green Leslie Park,"2 bd
1 ba
749 sf",2,1,749,Apt/Condo,Ottowa,Ontario
3,"2,750",West Centretown,"2 bd
1 ba
1062 sf",2,1,1062,Apt/Condo,Ottowa,Ontario
4,"1,399",Centretown,"V Tour

1 bd
1 ba
483 sf",1,,483,"


Apt/Condo",Ottowa,Ontario
5,"1,699",Crystal Bay Lakeview Park,"V Tour

2 bd
1 ba
0 sf",2,,0,"


Apt/Condo",Ottowa,Ontario
6,"2,200",Ledbury Heron Gate Ridgemont,"3 bd
2 ba",3,2,,Townhouse,Ottowa,Ontario
7,"1,650",Glebe Dows Lake,"1 bd
1 ba
504 sf",1,1,504,Apt/Condo,Ottowa,Ontario
8,"1,650",Glebe Dows Lake,"1 bd
1 ba
478 sf",1,1,478,Apt/Condo,Ottowa,Ontario
9,990,Bayshore Belltown,"0 bd
1 ba",0,1,,Apt/Condo,Ottowa,Ontario
10,"1,225",West Centretown,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
11,"1,895",Byward Market,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
12,"2,100",Manor Park,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
13,"1,800",Overbrook Mcarthur,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottowa,Ontario
14,"1,350",Vanier North,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
15,"1,259",Whitehaven Queensway Terrace North,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
16,"1,499",Hawthorne Meadows Sheffield Glen,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottowa,Ontario
17,"1,419",Whitehaven Queensway Terrace North,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
18,"1,599",Whitehaven Queensway Terrace North,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
19,"2,300",Civic Hospital Central Park,"3 bd
2 ba",3,2,,Multifamily,Ottowa,Ontario
20,"1,800",Cardinal Creek,"2 bd
2 ba",2,2,,Apt/Condo,Ottowa,Ontario
21,"1,100",Overbrook Mcarthur,"V Tour

0 bd
1 ba",0,,,"


Apt/Condo",Ottowa,Ontario
22,"2,700",Billings Bridge Alta Vista,"3 bd
2 ba",3,2,,House,Ottowa,Ontario
23,"2,199",Glebe Dows Lake,"V Tour

1 bd
2 ba
633 sf",1,,633,"


Apt/Condo",Ottowa,Ontario
24,"2,819",Glebe Dows Lake,"2 bd
2 ba
919 sf",2,2,919,Apt/Condo,Ottowa,Ontario
25,"2,449",Glebe Dows Lake,"2 bd
1 ba
670 sf",2,1,670,Apt/Condo,Ottowa,Ontario
26,"2,300",Portobello South,"3 bd
3 ba",3,3,,Townhouse,Ottowa,Ontario
27,"2,459",Glebe Dows Lake,"2 bd
2 ba
726 sf",2,2,726,Apt/Condo,Ottowa,Ontario
28,"2,219",Glebe Dows Lake,"V Tour

1 bd
1 ba
673 sf",1,,673,"


Apt/Condo",Ottowa,Ontario
29,"1,839",Glebe Dows Lake,"V Tour

1 bd
1 ba
457 sf",1,,457,"


Apt/Condo",Ottowa,Ontario
30,"1,499",Ledbury Heron Gate Ridgemont,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Ottowa,Ontario
31,"1,225",Ledbury Heron Gate Ridgemont,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottowa,Ontario
32,"1,965",Manor Park,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
33,"2,450",Hunt Club Upper Blossom Park Timbermill,"3 bd
3 ba",3,3,,House,Ottowa,Ontario
34,"2,399",Westboro,"1 bd
1 ba
858 sf",1,1,858,Apt/Condo,Ottowa,Ontario
35,"2,200",Greenboro East,"3 bd
3 ba",3,3,,Townhouse,Ottowa,Ontario
36,"1,475",Elmvale Canterbury,"1 bd
1 ba
600 sf",1,1,600,Apt/Condo,Ottowa,Ontario
37,"1,975",Glebe Dows Lake,"2 bd
1 ba
718 sf",2,1,718,Apt/Condo,Ottowa,Ontario
38,"3,200",Findlay Creek,"4 bd
3 ba",4,3,,House,Ottowa,Ontario
39,"1,700",Sandy Hill,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
40,"2,425",Stonebridge Half Moon Bay Heart's Desire,"3 bd
3 ba",3,3,,House,Ottowa,Ontario
41,"2,300",Findlay Creek,"3 bd
3 ba",3,3,,Townhouse,Ottowa,Ontario
42,"2,500",Centretown,"2 bd
2 ba",2,2,,Apt/Condo,Ottowa,Ontario
43,"2,050",Vanier North,"3 bd
1 ba",3,1,,Duplex,Ottowa,Ontario
44,"1,699",West Centretown,"1 bd
1 ba
455 sf",1,1,455,Apt/Condo,Ottowa,Ontario
45,"2,325",West Centretown,"2 bd
1 ba
665 sf",2,1,665,Apt/Condo,Ottowa,Ontario
46,"1,375",Centretown,"0 bd
1 ba",0,1,,Apt/Condo,Ottowa,Ontario
47,"1,100",Whitehaven Queensway Terrace North,"V Tour

1 bd
1 ba
500 sf",1,,500,"


Fourplex",Ottowa,Ontario
48,"1,650",Overbrook Mcarthur,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
49,"1,100",Lowertown,"V Tour

0 bd
1 ba",0,,,"


Apt/Condo",Ottowa,Ontario
50,"1,400",Hintonburg Mechanicsville,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
51,"3,000",Elmvale Canterbury,"3 bd
2 ba
1586 sf",3,2,1586,Townhouse,Ottowa,Ontario
52,"1,350",Hintonburg Mechanicsville,"0 bd
1 ba
400 sf",0,1,400,Apt/Condo,Ottowa,Ontario
53,"2,200",Cardinal Creek,"3 bd
1 ba",3,1,,Duplex,Ottowa,Ontario
54,"3,000",Lebreton Development,"2 bd
2 ba",2,2,,Apt/Condo,Ottowa,Ontario
55,"2,000",Centretown,"3 bd
1 ba
1000 sf",3,1,1000,Apt/Condo,Ottowa,Ontario
56,"1,199",Carlington,"0 bd
1 ba
314 sf",0,1,314,Apt/Condo,Ottowa,Ontario
57,"2,250",Glebe Dows Lake,"1 bd
2 ba",1,2,,Apt/Condo,Ottowa,Ontario
58,"1,399",Sandy Hill,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottowa,Ontario
59,"1,599",Crystal Bay Lakeview Park,"V Tour

1 bd
1 ba
664 sf",1,,664,"


Apt/Condo",Ottowa,Ontario
60,"1,895",Lowertown,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Ottowa,Ontario
61,"1,994",Old Ottawa East,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Ottowa,Ontario
62,"1,531",Old Ottawa East,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottowa,Ontario
63,"2,205",Elmvale Canterbury,"3 bd
2 ba
1115 sf",3,2,1115,Apt/Condo,Ottowa,Ontario
64,"1,900",Bridlewood Emerald Meadows,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
65,"1,455",Sandy Hill,"0 bd
1 ba
233 sf",0,1,233,Apt/Condo,Ottowa,Ontario
66,750,Carlingwood West Glabar Park Mckellar Heights,"1 bd
1 ba",1,1,,Multifamily,Ottowa,Ontario
67,"1,199",Carlington,"V Tour

1 bd
1 ba
433 sf",1,,433,"


Apt/Condo",Ottowa,Ontario
68,"2,700",Glebe Dows Lake,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
69,"1,825",Vanier North,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
70,"1,225",Byward Market,"1 bd
1 ba
425 sf",1,1,425,Apt/Condo,Ottowa,Ontario
71,"1,699",West Centretown,"1 bd
1 ba
478 sf",1,1,478,Apt/Condo,Ottowa,Ontario
72,"1,655",Hawthorne Meadows Sheffield Glen,"V Tour

2 bd
1 ba
939 sf",2,,939,"


Apt/Condo",Ottowa,Ontario
73,"1,699",Briar Green Leslie Park,"V Tour

1 bd
1 ba
593 sf",1,,593,"


Apt/Condo",Ottowa,Ontario
74,"1,999",Briar Green Leslie Park,"V Tour

2 bd
1 ba
905 sf",2,,905,"


Apt/Condo",Ottowa,Ontario
75,"1,859",Briar Green Leslie Park,"V Tour

2 bd
1 ba
749 sf",2,,749,"


Apt/Condo",Ottowa,Ontario
76,"1,450",Centretown,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottowa,Ontario
77,"1,999",Briar Green Leslie Park,"2 bd
2 ba
1150 sf",2,2,1150,Apt/Condo,Ottowa,Ontario
78,"1,699",Crystal Bay Lakeview Park,"V Tour

2 bd
1 ba
802 sf",2,,802,"


Apt/Condo",Ottowa,Ontario
79,"1,765",Hawthorne Meadows Sheffield Glen,"V Tour

2 bd
1 ba
871 sf",2,,871,"


Apt/Condo",Ottowa,Ontario
80,"1,635",Hawthorne Meadows Sheffield Glen,"V Tour

2 bd
1 ba
871 sf",2,,871,"


Apt/Condo",Ottowa,Ontario
81,"1,465",Hawthorne Meadows Sheffield Glen,"V Tour

1 bd
1 ba
651 sf",1,,651,"


Apt/Condo",Ottowa,Ontario
82,"1,755",Hawthorne Meadows Sheffield Glen,"V Tour

2 bd
1 ba
939 sf",2,,939,"


Apt/Condo",Ottowa,Ontario
83,"1,600",Lindenlea New Edinburgh,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
84,"1,500",Centretown,"1 bd
1 ba
630 sf",1,1,630,Apt/Condo,Ottowa,Ontario
85,"1,600",Centretown,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
86,"1,850",Sandy Hill,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
87,"2,000",Overbrook Mcarthur,"3 bd
1 ba",3,1,,Multifamily,Ottowa,Ontario
88,"1,780",Vanier South,"2 bd
1 ba",2,1,,Multifamily,Ottowa,Ontario
89,"1,510",Hawthorne Meadows Sheffield Glen,"V Tour

1 bd
1 ba
651 sf",1,,651,"


Apt/Condo",Ottowa,Ontario
90,"1,449",Iris Queensway Terrance South,"V Tour

1 bd
1 ba
0 sf",1,,0,"


Apt/Condo",Ottowa,Ontario
91,"2,385",Orléans Village Chateauneuf,"3 bd
3 ba",3,3,,Apt/Condo,Ottowa,Ontario
92,"1,700",Glebe Dows Lake,"1 bd
1 ba
504 sf",1,1,504,Apt/Condo,Ottowa,Ontario
93,"1,850",Glebe Dows Lake,"1 bd
1 ba
546 sf",1,1,546,Apt/Condo,Ottowa,Ontario
94,"1,700",Glebe Dows Lake,"1 bd
1 ba
504 sf",1,1,504,Apt/Condo,Ottowa,Ontario
95,"1,700",Glebe Dows Lake,"1 bd
1 ba
508 sf",1,1,508,Apt/Condo,Ottowa,Ontario
96,"1,700",Glebe Dows Lake,"1 bd
1 ba
508 sf",1,1,508,Apt/Condo,Ottowa,Ontario
97,"1,300",West Centretown,"1 bd
1 ba",1,1,,Multifamily,Ottowa,Ontario
98,"1,600",Centretown,"1 bd
1 ba",1,1,,Multifamily,Ottowa,Ontario
99,"1,215",Hunt Club East Western Community,"0 bd
1 ba",0,1,,Apt/Condo,Ottowa,Ontario
100,"2,250",Cardinal Creek,"3 bd
4 ba",3,4,,Townhouse,Ottowa,Ontario
101,"1,999",Centretown,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
102,"1,550",Sandy Hill,"0 bd
1 ba",0,1,,Apt/Condo,Ottowa,Ontario
103,"1,950",Sandy Hill,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
104,"1,950",Sandy Hill,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
105,"2,450",Sandy Hill,"2 bd
2 ba",2,2,,Apt/Condo,Ottowa,Ontario
106,"2,725",Skyline Fisher Heights,"4 bd
3 ba",4,3,,House,Ottowa,Ontario
107,"2,199",Centretown,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
108,"1,259",Vanier South,"0 bd
1 ba",0,1,,Apt/Condo,Ottowa,Ontario
109,"1,850",West Centretown,"1 bd
1 ba
360 sf",1,1,360,Apt/Condo,Ottowa,Ontario
110,"1,325",West Centretown,"2 bd
2 ba",2,2,,Apt/Condo,Ottowa,Ontario
111,"1,695",Lowertown,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottowa,Ontario
112,"2,350",Hintonburg Mechanicsville,"V Tour

1 bd
1 ba
491 sf",1,,491,"


Apt/Condo",Ottowa,Ontario
113,"1,400",Bayshore Belltown,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
114,"2,350",Hintonburg Mechanicsville,"V Tour

1 bd
1 ba
756 sf",1,,756,"


Apt/Condo",Ottowa,Ontario
115,"1,535",Hintonburg Mechanicsville,"V Tour

0 bd
1 ba
261 sf",0,,261,"


Apt/Condo",Ottowa,Ontario
116,"1,299",Centretown,"V Tour

1 bd
1 ba
420 sf",1,,420,"


Apt/Condo",Ottowa,Ontario
117,"1,000",Island Park Wellington Village,"1 bd
1 ba",1,1,,Multifamily,Ottowa,Ontario
118,"1,395",Vanier North,"0 bd
1 ba",0,1,,Apt/Condo,Ottowa,Ontario
119,"1,692",Whitehaven Queensway Terrace North,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
120,"1,300",West Centretown,"1 bd
1 ba",1,1,,Duplex,Ottowa,Ontario
121,"1,995",Old Ottawa East,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
122,"2,995",Stittsville,"4 bd
3 ba",4,3,,House,Ottowa,Ontario
123,"2,399",Vanier North,"3 bd
2 ba",3,2,,Apt/Condo,Ottowa,Ontario
124,"1,579",Vanier North,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
125,"2,049",Old Ottawa East,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
126,"2,999",Sandy Hill,"4 bd
2 ba",4,2,,Apt/Condo,Ottowa,Ontario
127,"1,800",Centretown,"2 bd
1 ba
1007 sf",2,1,1007,Apt/Condo,Ottowa,Ontario
128,"1,600",Sandy Hill,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
129,"1,299",Centretown,"0 bd
1 ba",0,1,,Apt/Condo,Ottowa,Ontario
130,"1,749",Centretown,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Ottowa,Ontario
131,"3,900",Centretown,"3 bd
1 ba",3,1,,House,Ottowa,Ontario
132,"2,650",Westboro,"V Tour

2 bd
1 ba
784 sf",2,,784,"


Apt/Condo",Ottowa,Ontario
133,"1,650",Centretown,"2 bd
1 ba",2,1,,Multifamily,Ottowa,Ontario
134,"2,400",Carleton Heights Rideauview,"4 bd
4 ba",4,4,,House,Ottowa,Ontario
135,"1,600",Byward Market,"V Tour

0 bd
1 ba",0,,,"


Apt/Condo",Ottowa,Ontario
136,"1,350",Ottawa,"1 bd
1 ba
550 sf",1,1,550,Apt/Condo,Ottowa,Ontario
137,"3,000",Billings Bridge Alta Vista,"3 bd
2 ba",3,2,,House,Ottowa,Ontario
138,"2,500",Glebe Dows Lake,"4 bd
1 ba",4,1,,Apt/Condo,Ottowa,Ontario
139,"1,495",Centretown,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
140,"1,550",Ottawa,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
141,"1,295",Lowertown,"0 bd
1 ba",0,1,,Apt/Condo,Ottowa,Ontario
142,"2,625",West Centretown,"2 bd
1 ba
1131 sf",2,1,1131,Apt/Condo,Ottowa,Ontario
143,"1,215",Whitehaven Queensway Terrace North,"0 bd
1 ba",0,1,,Apt/Condo,Ottowa,Ontario
144,"1,175",Whitehaven Queensway Terrace North,"0 bd
1 ba",0,1,,Apt/Condo,Ottowa,Ontario
145,"2,450",Centretown,"2 bd
2 ba",2,2,,Apt/Condo,Ottowa,Ontario
146,"2,192",Sandy Hill,"1 bd
1 ba
735 sf",1,1,735,Apt/Condo,Ottowa,Ontario
147,"1,400",Sandy Hill,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Ottowa,Ontario
148,"1,250",Ottawa,"1 bd
1 ba
600 sf",1,1,600,Apt/Condo,Ottowa,Ontario
149,"1,499",Ottawa,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottowa,Ontario
150,"1,600",Centretown,"1 bd
1 ba",1,1,,Multifamily,Ottowa,Ontario
151,"2,899",West Centretown,"2 bd
2 ba
1332 sf",2,2,1332,Apt/Condo,Ottowa,Ontario
152,"1,830",Hintonburg Mechanicsville,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
153,700,Glebe Dows Lake,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
154,"1,892",Ottawa,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
155,"1,500",Sandy Hill,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
156,"1,910",Ottawa,"2 bd
1 ba
767 sf",2,1,767,Apt/Condo,Ottowa,Ontario
157,"1,599",Ottawa,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Ottowa,Ontario
158,"2,100",Ottawa,"V Tour

2 bd
2 ba
924 sf",2,,924,"


Apt/Condo",Ottowa,Ontario
159,"1,295",Sandy Hill,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
160,"2,819",Glebe Dows Lake,"2 bd
1 ba
871 sf",2,1,871,Apt/Condo,Ottowa,Ontario
161,"2,459",Glebe Dows Lake,"2 bd
1 ba
670 sf",2,1,670,Apt/Condo,Ottowa,Ontario
162,"3,499",Glebe Dows Lake,"2 bd
1 ba
763 sf",2,1,763,Apt/Condo,Ottowa,Ontario
163,"1,600",West Centretown,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
164,"1,750",West Centretown,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
165,"1,225",West Centretown,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
166,"1,050",West Centretown,"3 bd
3 ba",3,3,,Apt/Condo,Ottowa,Ontario
167,"1,010",West Centretown,"4 bd
4 ba",4,4,,Apt/Condo,Ottowa,Ontario
168,"1,839",Glebe Dows Lake,"V Tour

1 bd
1 ba
480 sf",1,,480,"


Apt/Condo",Ottowa,Ontario
169,"2,279",Glebe Dows Lake,"V Tour

1 bd
1 ba
527 sf",1,,527,"


Apt/Condo",Ottowa,Ontario
170,"2,199",Glebe Dows Lake,"V Tour

1 bd
1 ba
575 sf",1,,575,"


Apt/Condo",Ottowa,Ontario
171,"1,349",Riverside Park,"1 bd
1 ba
322 sf",1,1,322,Apt/Condo,Ottowa,Ontario
172,"1,769",Riverside Park,"1 bd
1 ba
453 sf",1,1,453,Apt/Condo,Ottowa,Ontario
173,"1,349",Riverside Park,"1 bd
1 ba
337 sf",1,1,337,Apt/Condo,Ottowa,Ontario
174,"2,100",Riverside Park,"V Tour

2 bd
2 ba
725 sf",2,,725,"


Apt/Condo",Ottowa,Ontario
175,"3,072",Riverside Park,"3 bd
3 ba
1113 sf",3,3,1113,Apt/Condo,Ottowa,Ontario
176,"3,696",Riverside Park,"4 bd
2 ba
1224 sf",4,2,1224,Apt/Condo,Ottowa,Ontario
177,"3,796",Riverside Park,"4 bd
3 ba
1227 sf",4,3,1227,Apt/Condo,Ottowa,Ontario
178,"3,896",Riverside Park,"V Tour

4 bd
4 ba
1178 sf",4,,1178,"


Apt/Condo",Ottowa,Ontario
179,"1,945",Bayshore Belltown,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
180,"1,845",Bayshore Belltown,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
181,"1,545",Bayshore Belltown,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
182,"2,099",Bayshore Belltown,"3 bd
2 ba",3,2,,House,Ottowa,Ontario
183,"1,999",Bayshore Belltown,"2 bd
2 ba",2,2,,House,Ottowa,Ontario
184,"1,571",Bayshore Belltown,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
185,"1,995",Bayshore Belltown,"3 bd
1 ba",3,1,,Apt/Condo,Ottowa,Ontario
186,"1,995",Ottawa,"3 bd
1 ba",3,1,,Apt/Condo,Ottowa,Ontario
187,"1,974",Bayshore Belltown,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
188,"1,675",Bayshore Belltown,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
189,"1,445",Bayshore Belltown,"0 bd
1 ba",0,1,,Apt/Condo,Ottowa,Ontario
190,"1,745",Bayshore Belltown,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
191,"1,695",Bayshore Belltown,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
192,"1,595",Bayshore Belltown,"0 bd
1 ba",0,1,,Apt/Condo,Ottowa,Ontario
193,"1,795",Bayshore Belltown,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
194,"3,000",Ottawa,"V Tour

4 bd
2 ba",4,,,"


Multifamily",Ottowa,Ontario
195,"1,699",Ottawa,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Ottowa,Ontario
196,"1,825",Overbrook Mcarthur,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
197,"4,200",Ottawa,"V Tour

2 bd
2 ba
1200 sf",2,,1200,"


Apt/Condo",Ottowa,Ontario
198,"1,449",Ottawa,"V Tour

2 bd
1 ba
570 sf",2,,570,"


Apt/Condo",Ottowa,Ontario
199,"1,995",Ottawa,"3 bd
2 ba
1350 sf",3,2,1350,Townhouse,Ottowa,Ontario
200,"1,600",West Centretown,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
201,"1,399",Ottawa,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottowa,Ontario
202,"2,200",Westboro,"V Tour

1 bd
1 ba
679 sf",1,,679,"


Apt/Condo",Ottowa,Ontario
203,"1,150",Byward Market,"V Tour

0 bd
1 ba
400 sf",0,,400,"


Apt/Condo",Ottowa,Ontario
204,"1,092",Ottawa,"2 bd
1 ba",2,1,,Apt/Condo,Ottowa,Ontario
205,"1,200",Ottawa,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
206,"1,900",Centretown,"V Tour

1 bd
2 ba",1,,,"


Apt/Condo",Ottowa,Ontario
207,"2,050",Centretown,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Ottowa,Ontario
208,"2,250",Centretown,"V Tour

2 bd
2 ba",2,,,"


Apt/Condo",Ottowa,Ontario
209,"2,400",Centretown,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Ottowa,Ontario
210,"1,775",Ottawa,"1 bd
1 ba",1,1,,Apt/Condo,Ottowa,Ontario
211,"1,850",Ottawa,"2 bd
2 ba",2,2,,Apt/Condo,Ottowa,Ontario
212,"1,725",Ottawa,"3 bd
2 ba
930 sf",3,2,930,Apt/Condo,Ottowa,Ontario
