,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"1,106",Swift Current,"3 bd
1 ba
0 sf",3,1,0,Apt/Condo,Swift_current,SK
1,811,Swift Current,"2 bd
1 ba
736 sf",2,1,736,Apt/Condo,Swift_current,SK
2,871,Swift Current,"1 bd
1 ba
557 sf",1,1,557,Apt/Condo,Swift_current,SK
3,876,Swift Current,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Swift_current,SK
4,621,Swift Current,"0 bd
1 ba
0 sf",0,1,0,Apt/Condo,Swift_current,SK
5,616,Swift Current,"0 bd
1 ba
286 sf",0,1,286,Apt/Condo,Swift_current,SK
6,"1,096",Swift Current,"3 bd
1 ba
829 sf",3,1,829,Apt/Condo,Swift_current,SK
7,726,Swift Current,"1 bd
1 ba
446 sf",1,1,446,Apt/Condo,Swift_current,SK
8,951,Swift Current,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Swift_current,SK
9,726,Swift Current,"1 bd
1 ba
484 sf",1,1,484,Apt/Condo,Swift_current,SK
10,846,Swift Current,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Swift_current,SK
11,626,Swift Current,"1 bd
1 ba
499 sf",1,1,499,Apt/Condo,Swift_current,SK
12,651,Swift Current,"0 bd
1 ba
361 sf",0,1,361,Apt/Condo,Swift_current,SK
13,946,Swift Current,"3 bd
1 ba
0 sf",3,1,0,Apt/Condo,Swift_current,SK
14,911,Swift Current,"2 bd
1 ba
736 sf",2,1,736,Apt/Condo,Swift_current,SK
15,871,Swift Current,"2 bd
1 ba
767 sf",2,1,767,Apt/Condo,Swift_current,SK
