,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city
0,"1,250",Dovercourt Wallace Emerson Junction,"0 bd
1 ba
230 sf",0,1,230,Apt/Condo,Toronto
1,"2,900",Niagara,"2 bd
2 ba
800 sf",2,2,800,Apt/Condo,Toronto
2,"2,000",Church Yonge Corridor,"1 + 1 bd
1 ba
< 499 sf",1 + 1,1,<,Apt/Condo,Toronto
3,"1,325",High Park North,"0 bd
1 ba",0,1,,Apt/Condo,Toronto
4,"2,775",Elms Old Rexdale,"3 bd
2 ba
1656 sf",3,2,1656,Apt/Condo,Toronto
5,"3,200",Waterfront Communities West,"2 bd
2 ba",2,2,,Apt/Condo,Toronto
6,"1,950",Henry Farm,"1 bd
1 ba
545 sf",1,1,545,Apt/Condo,Toronto
7,"2,429",Thorncliffe Park,"2 bd
2 ba
957 sf",2,2,957,Apt/Condo,Toronto
8,"2,200",Waterfront Communities West,"1 bd
1 ba
572 sf",1,1,572,Apt/Condo,Toronto
9,"3,100",Church Yonge Corridor,"2 bd
2 ba",2,2,,Apt/Condo,Toronto
10,"2,399",Little Portugal,"2 bd
2 ba",2,2,,Apt/Condo,Toronto
11,"2,000",Waterfront Communities West,"1 bd
1 ba
650 sf",1,1,650,Apt/Condo,Toronto
12,"2,450",Little Portugal,"2 bd
2 ba",2,2,,Apt/Condo,Toronto
13,"2,650",South Riverdale,"2 bd
2 ba",2,2,,Apt/Condo,Toronto
14,"5,000",Niagara,"3 bd
3 ba",3,3,,Apt/Condo,Toronto
15,"2,450",Mimico,"1 bd
2 ba",1,2,,Apt/Condo,Toronto
16,"1,750",Humewood Cedarvale,"2 bd
1 ba",2,1,,Apt/Condo,Toronto
17,"1,450",Humewood Cedarvale,"1 bd
1 ba",1,1,,Apt/Condo,Toronto
18,"1,325",Bedford Park Nortown,"1 bd
1 ba",1,1,,Apt/Condo,Toronto
19,"1,600",Yonge St. Clair,"1 bd
1 ba
460 sf",1,1,460,Apt/Condo,Toronto
20,"2,075",Banbury Don Mills,"1 bd
1 ba
629 sf",1,1,629,Apt/Condo,Toronto
21,"1,595",Humewood Cedarvale,"1 bd
1 ba
450 sf",1,1,450,Apt/Condo,Toronto
22,"1,660",South Parkdale,"1 bd
1 ba
500 sf",1,1,500,Apt/Condo,Toronto
23,"1,250",Dovercourt Wallace Emerson Junction,"0 bd
1 ba
230 sf",0,1,230,Apt/Condo,Toronto
24,"2,000",Mount Pleasant West,"2 bd
1 ba
845 sf",2,1,845,Apt/Condo,Toronto
25,"2,583",Henry Farm,"V Tour

3 bd
1 ba",3,,,"


Apt/Condo",Toronto
26,"1,575",Yorkville,"0 bd
1 ba",0,1,,Apt/Condo,Toronto
27,"1,649",Mount Olive Silverstone Jamestown,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Toronto
28,"2,150",Islington City Centre West,"1 bd
1 ba
599 sf",1,1,599,Apt/Condo,Toronto
29,"2,800",North Riverdale,"2 bd
2 ba",2,2,,Duplex,Toronto
30,"2,465",Mount Pleasant West,"V Tour

1 bd
1 ba
635 sf",1,,635,"


Apt/Condo",Toronto
31,"2,125",Mount Pleasant East,"1 bd
1 ba
604 sf",1,1,604,Apt/Condo,Toronto
32,"2,050",Dovercourt Wallace Emerson Junction,"1 bd
1 ba
604 sf",1,1,604,Apt/Condo,Toronto
33,"2,700",Church Yonge Corridor,"2 bd
2 ba
645 sf",2,2,645,Apt/Condo,Toronto
34,"1,400",South Parkdale,"1 bd
1 ba",1,1,,Apt/Condo,Toronto
35,"2,300",Niagara,"1 bd
1 ba
553 sf",1,1,553,Apt/Condo,Toronto
36,"1,750",South Parkdale,"2 bd
1 ba",2,1,,Apt/Condo,Toronto
37,"2,850",Waterfront Communities East,"2 bd
2 ba",2,2,,Apt/Condo,Toronto
38,"1,100",Broadview North,"0 bd
1 ba",0,1,,Apt/Condo,Toronto
39,"2,450",Niagara,"1 + 1 bd
1 ba
700 - 799 sf",1 + 1,1,700,Apt/Condo,Toronto
40,"2,800",Roncesvalles,"2 bd
1 ba",2,1,,House,Toronto
41,"2,800",Mount Olive Silverstone Jamestown,"3 bd
2 ba",3,2,,House,Toronto
42,"1,400",Yorkville,"0 bd
1 ba
306 sf",0,1,306,Apt/Condo,Toronto
43,"2,500",Waterfront Communities West,"2 bd
1 ba
800 - 899 sf",2,1,800,Apt/Condo,Toronto
44,"1,569",Tam O'shanter Sullivan,"1 bd
0 ba",1,0,,Apt/Condo,Toronto
45,"1,619",Woburn,"1 bd
0 ba",1,0,,Apt/Condo,Toronto
46,"2,200",Islington City Centre West,"1 bd
1 ba
598 sf",1,1,598,Apt/Condo,Toronto
47,"3,100",Kensington Chinatown,"2 bd
2 ba
790 sf",2,2,790,Apt/Condo,Toronto
48,"1,900",Waterfront Communities East,"1 bd
1 ba
443 sf",1,1,443,Apt/Condo,Toronto
49,"1,379",St. Andrew Windfields,"0 bd
1 ba
1050 sf",0,1,1050,Apt/Condo,Toronto
50,"2,400",Lansing Westgate,"1 + 1 bd
2 ba
600 - 699 sf",1 + 1,2,600,Apt/Condo,Toronto
51,"2,900",Waterfront Communities East,"2 bd
2 ba",2,2,,Apt/Condo,Toronto
52,"3,250",Kensington Chinatown,"2 bd
2 ba",2,2,,Apt/Condo,Toronto
53,"2,000",Waterfront Communities East,"1 bd
1 ba",1,1,,Apt/Condo,Toronto
54,"2,100",Waterfront Communities West,"1 bd
1 ba
590 sf",1,1,590,Apt/Condo,Toronto
55,"2,590",South Riverdale,"2 bd
2 ba
850 sf",2,2,850,Apt/Condo,Toronto
56,"1,800",South Riverdale,"1 bd
1 ba
580 sf",1,1,580,Apt/Condo,Toronto
57,"2,850",Waterfront Communities East,"1 bd
2 ba
790 sf",1,2,790,Apt/Condo,Toronto
58,"3,300",South Riverdale,"2 bd
2 ba
880 sf",2,2,880,Apt/Condo,Toronto
59,"2,600",Niagara,"3 bd
2 ba",3,2,,Apt/Condo,Toronto
60,"2,950",Niagara,"1 bd
1 ba",1,1,,Apt/Condo,Toronto
61,"2,350",South Riverdale,"1 bd
1 ba
578 sf",1,1,578,Apt/Condo,Toronto
62,"3,150",Waterfront Communities West,"V Tour

2 bd
2 ba
900 - 999 sf",2,,900,"


Apt/Condo",Toronto
63,"4,200",Yorkville,"2 bd
3 ba
1205 sf",2,3,1205,Apt/Condo,Toronto
64,"3,000",Yorkville,"2 bd
2 ba
815 sf",2,2,815,Apt/Condo,Toronto
65,"2,050",Waterfront Communities West,"1 bd
1 ba
700 sf",1,1,700,Apt/Condo,Toronto
66,"2,100",Willowdale East,"1 bd
1 ba
657 sf",1,1,657,Apt/Condo,Toronto
67,"1,799",Dufferin Grove,"1 bd
1 ba
512 sf",1,1,512,Apt/Condo,Toronto
68,"2,100",Waterfront Communities West,"1 bd
1 ba
610 sf",1,1,610,Apt/Condo,Toronto
69,"1,900",West Humber Clairville,"1 bd
1 ba",1,1,,Apt/Condo,Toronto
70,"1,850",Islington City Centre West,"1 bd
1 ba
485 sf",1,1,485,Apt/Condo,Toronto
71,"1,729",Eglinton East,"2 bd
0 ba",2,0,,Apt/Condo,Toronto
72,"2,700",Yorkville,"1 bd
2 ba
659 sf",1,2,659,Apt/Condo,Toronto
73,"2,300",Yorkville,"1 bd
1 ba
601 sf",1,1,601,Apt/Condo,Toronto
74,"7,100",Yorkville,"3 bd
3 ba
1486 sf",3,3,1486,Apt/Condo,Toronto
75,"2,000",Islington City Centre West,"1 bd
1 ba
630 sf",1,1,630,Apt/Condo,Toronto
76,"1,947",Bayview Village,"2 bd
2 ba
0 sf",2,2,0,Apt/Condo,Toronto
77,"2,100",Willowridge Martingrove Richview,"4 bd
1 ba",4,1,,Apt/Condo,Toronto
78,"2,142",Don Valley Village,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Toronto
79,"1,400",O'connor Parkview,"1 bd
1 ba",1,1,,Apt/Condo,Toronto
80,"1,750",Bay Street Corridor,"1 bd
1 ba",1,1,,Apt/Condo,Toronto
81,"1,741",Weston,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Toronto
82,"1,731",Bedford Park Nortown,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Toronto
83,"2,138",Henry Farm,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Toronto
84,"1,750",Weston,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Toronto
85,"2,040",Malvern,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Toronto
86,"1,889",Weston,"V Tour

1 bd
1 ba",1,,,"


Apt/Condo",Toronto
87,"2,179",Mount Pleasant East,"1 bd
1 ba",1,1,,Apt/Condo,Toronto
88,"2,000",Markland Wood,"3 bd
1 ba",3,1,,House,Toronto
89,"2,019",Bathurst Manor,"2 bd
0 ba",2,0,,Apt/Condo,Toronto
90,"1,979",Cliffcrest,"2 bd
1 ba
725 sf",2,1,725,Apt/Condo,Toronto
91,"1,760",Leaside,"1 bd
1 ba
510 sf",1,1,510,Apt/Condo,Toronto
92,"3,700",Church Yonge Corridor,"2 bd
2 ba
880 sf",2,2,880,Apt/Condo,Toronto
93,"2,250",Bay Street Corridor,"1 bd
1 ba
699 sf",1,1,699,Apt/Condo,Toronto
94,"2,170",Mount Pleasant West,"1 bd
1 ba
509 sf",1,1,509,Apt/Condo,Toronto
95,"2,200",Church Yonge Corridor,"1 + 1 bd
1 ba
600 - 699 sf",1 + 1,1,600,Apt/Condo,Toronto
