,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city
0,948,Winnipeg,"1 bd
1 ba",1,1,,Apt/Condo,Winnipeg
1,"1,085",Winnipeg,"2 bd
1 ba
780 sf",2,1,780,Apt/Condo,Winnipeg
2,"1,125",Winnipeg,"2 bd
1 ba
800 sf",2,1,800,Apt/Condo,Winnipeg
3,825,Winnipeg,"0 bd
1 ba
447 sf",0,1,447,Apt/Condo,Winnipeg
4,"1,845",Winnipeg,"V Tour

3 bd
2 ba
1221 sf",3,,1221,"


Townhouse",Winnipeg
5,"1,179",Winnipeg,"2 bd
1 ba
740 sf",2,1,740,Apt/Condo,Winnipeg
6,813,Winnipeg,"1 bd
1 ba
608 sf",1,1,608,Apt/Condo,Winnipeg
7,"1,805",Winnipeg,"2 bd
2 ba
752 sf",2,2,752,Apt/Condo,Winnipeg
8,"1,655",Winnipeg,"2 bd
2 ba
993 sf",2,2,993,Apt/Condo,Winnipeg
9,"1,750",Winnipeg,"2 bd
2 ba
1014 sf",2,2,1014,Apt/Condo,Winnipeg
10,"2,200",Winnipeg,"3 bd
2 ba
1150 sf",3,2,1150,Apt/Condo,Winnipeg
11,"1,435",Winnipeg,"1 bd
1 ba
752 sf",1,1,752,Apt/Condo,Winnipeg
12,"1,400",Winnipeg,"1 bd
1 ba
662 sf",1,1,662,Apt/Condo,Winnipeg
13,"1,295",Winnipeg,"1 bd
1 ba
529 sf",1,1,529,Townhouse,Winnipeg
14,"1,226",Winnipeg,"2 bd
1 ba
903 sf",2,1,903,Apt/Condo,Winnipeg
15,"1,175",Winnipeg,"2 bd
1 ba
714 sf",2,1,714,Apt/Condo,Winnipeg
16,638,Winnipeg,"0 bd
1 ba
0 sf",0,1,0,Apt/Condo,Winnipeg
17,"1,085",Winnipeg,"2 bd
1 ba
792 sf",2,1,792,Apt/Condo,Winnipeg
18,"1,375",Winnipeg,"V Tour

2 bd
1 ba
916 sf",2,,916,"


Apt/Condo",Winnipeg
19,827,Winnipeg,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Winnipeg
20,"1,595",Winnipeg,"4 bd
1 ba
0 sf",4,1,0,Multifamily,Winnipeg
21,895,Winnipeg,"1 bd
1 ba
0 sf",1,1,0,House,Winnipeg
22,"1,085",Winnipeg,"2 bd
1 ba
780 sf",2,1,780,Apt/Condo,Winnipeg
23,"1,095",Winnipeg,"1 bd
1 ba",1,1,,Apt/Condo,Winnipeg
24,"1,760",Winnipeg,"2 bd
1 ba
1007 sf",2,1,1007,Apt/Condo,Winnipeg
25,"1,440",Winnipeg,"2 bd
1 ba
891 sf",2,1,891,Apt/Condo,Winnipeg
26,"1,600",Winnipeg,"2 bd
1 ba
914 sf",2,1,914,Apt/Condo,Winnipeg
