,price,Address,moreinfo,types
0,"$2,747",Downtown West,"1 bd
1 ba
670 sf",Apt/Condo
1,"$2,850",South Marine,"2 bd
2 ba
887 sf",Apt/Condo
2,"$2,795",Victoria East,"2 bd
2 ba",Apt/Condo
3,"$2,700",False Creek,"2 bd
2 ba
710 sf",House
4,"$1,450",Fairview,"1 bd
1 ba",Apt/Condo
5,"$2,200",West End,"1 bd
1 ba",Apt/Condo
6,"$1,700",Fairview,"1 bd
1 ba",Apt/Condo
7,"$2,250",Downtown West,"1 bd
1 ba
626 sf",Apt/Condo
8,"$3,495",Mount Pleasant East,"1 bd
2 ba
1025 sf",House
9,"$2,695",West End,"1 bd
1 ba
592 sf",House
10,"$10,500",Fairview,"4 bd
3 ba
2268 sf",House
11,"$2,300",Marpole,"1 bd
1 ba
605 sf",Apt/Condo
12,"$1,195",West End,"0 bd
1 ba
325 sf",Apt/Condo
13,"$3,100",Yaletown,"2 bd
2 ba
897 sf",Apt/Condo
14,"$2,400",Downtown West,"1 bd
1 ba
761 sf",Apt/Condo
15,"$1,900",Downtown East,"1 bd
1 ba
755 sf",Apt/Condo
16,"$3,700",Downtown West,"2 bd
2 ba
1001 sf",House
17,"$4,500",University (Ubc),"2 bd
2 ba
950 sf",Apt/Condo
18,"$4,150",West End,"2 bd
2 ba
855 sf",Apt/Condo
19,"$3,200",Mount Pleasant West,"1 bd
1 ba
917 sf",Apt/Condo
20,"$3,000",False Creek,"2 bd
1 ba
715 sf",Apt/Condo
21,"$2,990",Fairview,"2 bd
1 ba
1200 sf",Apt/Condo
22,"$2,250",South Vancouver,"2 bd
1 ba
800 sf",House
23,"$1,880",Kitsilano,"1 bd
1 ba
575 sf",Apt/Condo
24,"$3,200",West End,"2 bd
2 ba",Apt/Condo
25,"$2,300",Yaletown,"1 bd
1 ba
705 sf",Apt/Condo
26,"$2,995",Downtown West,"2 bd
2 ba
919 sf",Apt/Condo
27,"$3,100",South Vancouver,"3 bd
2 ba
992 sf",Apt/Condo
28,"$2,150",Yaletown,"1 bd
1 ba
479 sf",Apt/Condo
29,"$3,975",Yaletown,"2 bd
3 ba
1556 sf",Apt/Condo
30,"$4,300",West End,"3 bd
3 ba",Apt/Condo
31,"$2,400",West End,"1 bd
1 ba
525 sf",Apt/Condo
32,"$3,599",False Creek,"V Tour

2 bd
2 ba
965 sf","V Tour


Apt/Condo"
33,"$2,500",Downtown West,"1 bd
1 ba
625 sf",Apt/Condo
34,"$7,600",Yaletown,"3 bd
4 ba
2495 sf",Apt/Condo
35,"$2,250",West End,"1 bd
1 ba",Apt/Condo
36,"$2,650",South Vancouver,"2 bd
2 ba
840 sf",House
37,"$3,100",Fairview,"2 bd
2 ba
1111 sf",Apt/Condo
38,"$14,000",Shaughnessy,"8 bd
8 ba
8895 sf",House
39,"$5,500",Downtown West,"1 bd
1 ba
1 sf",House
40,"$1,200",Grandview East,"1 bd
1 ba",Apt/Condo
41,"$2,600",West End,"2 bd
1 ba
830 sf",Apt/Condo
42,"$2,900",West End,"V Tour

1 bd
1 ba
840 sf","V Tour


Apt/Condo"
43,"$3,900",Yaletown,"2 bd
2 ba
719 sf",House
44,"$2,950",Yaletown,"2 bd
2 ba
871 sf",Apt/Condo
45,"$3,000",Yaletown,"V Tour

0 bd
1 ba","V Tour


Apt/Condo"
46,"$7,500",Fairview,"2 bd
2 ba
1438 sf",House
47,"$1,995",Kitsilano,"0 bd
1 ba
523 sf",Apt/Condo
48,"$2,230",Kitsilano,"1 bd
1 ba
531 sf",Apt/Condo
49,"$3,450",Kitsilano,"2 bd
2 ba
854 sf",Apt/Condo
50,"$3,980",Downtown West,"2 bd
2 ba
851 sf",House
51,"$2,600",Main,"2 bd
1 ba
945 sf",Multifamily
52,"$3,495",West End,"V Tour

2 bd
2 ba","V Tour


Apt/Condo"
53,"$6,200",West End,"V Tour

3 bd
2 ba","V Tour


Apt/Condo"
54,"$4,095",West End,"3 bd
3 ba",Apt/Condo
55,"$7,500",Downtown West,"3 bd
3 ba
1811 sf",House
56,"$3,200",Fairview,"V Tour

2 bd
2 ba
893 sf","V Tour


Apt/Condo"
57,"$2,350",Fairview,"1 bd
1 ba
618 sf",Apt/Condo
58,"$12,500",Yaletown,"3 bd
3 ba
1982 sf",House
59,"$3,275",West End,"2 bd
1 ba",Apt/Condo
60,"$2,100",Southwest Marine,"1 bd
1 ba",Apt/Condo
61,"$2,800",West End,"V Tour

1 bd
1 ba
600 sf","V Tour


Apt/Condo"
62,"$3,100",West End,"2 bd
1 ba
705 sf",Apt/Condo
63,"$1,660",West End,"1 bd
1 ba",Apt/Condo
64,"$1,975",Victoria East,"1 bd
1 ba
700 sf",Apt/Condo
65,"$4,650",West End,"2 bd
2 ba
790 sf",Apt/Condo
66,"$1,950",West End,"1 bd
1 ba",Apt/Condo
67,"$2,175",West End,"1 bd
1 ba
465 sf",Apt/Condo
68,"$4,500",West End,"3 bd
2 ba
745 sf",Apt/Condo
69,"$2,550",Collingwood,"2 bd
2 ba
799 sf",Apt/Condo
70,"$4,250",West End,"2 bd
2 ba
780 sf",Apt/Condo
71,"$6,800",West End,"2 bd
2 ba
871 sf",Apt/Condo
72,"$3,950",West End,"1 bd
1 ba
585 sf",Apt/Condo
73,"$5,800",West End,"2 bd
2 ba
823 sf",Apt/Condo
74,"$4,250",West End,"1 bd
2 ba
689 sf",Apt/Condo
75,"$2,395",Victoria East,"2 bd
1 ba
764 sf",Apt/Condo
76,"$2,303",Coal Harbour,"0 bd
1 ba
463 sf",Apt/Condo
77,"$3,100",West End,"2 bd
2 ba
705 sf",Apt/Condo
78,"$1,200",Fairview,"0 bd
1 ba
150 sf",Apt/Condo
79,"$1,860",Kitsilano,"1 bd
1 ba
575 sf",Apt/Condo
80,"$1,780",Kitsilano,"1 bd
1 ba
575 sf",Apt/Condo
81,"$2,950",Coal Harbour,"V Tour

1 bd
1 ba
960 sf","V Tour


Apt/Condo"
82,"$1,975",West End,"V Tour

1 bd
1 ba","V Tour


Apt/Condo"
83,"$2,600",West End,"2 bd
2 ba
578 sf",Apt/Condo
84,"$3,500",West End,"3 bd
2 ba
754 sf",Apt/Condo
85,"$4,200",West End,"3 bd
2 ba
890 sf",Apt/Condo
86,"$2,000",West End,"0 bd
1 ba
259 sf",Apt/Condo
87,"$4,200",West End,"2 bd
2 ba
945 sf",Apt/Condo
88,"$2,700",West End,"2 bd
1 ba
512 sf",Apt/Condo
89,"$2,150",West End,"1 bd
1 ba
480 sf",Apt/Condo
90,"$2,400",West End,"1 bd
2 ba
541 sf",Apt/Condo
91,"$2,200",West End,"1 bd
1 ba
500 sf",Apt/Condo
92,"$3,400",West End,"2 bd
2 ba
690 sf",Apt/Condo
93,"$2,850",West End,"2 bd
1 ba
560 sf",Apt/Condo
94,"$2,750",West End,"1 bd
2 ba
616 sf",Apt/Condo
95,"$2,250",West End,"0 bd
1 ba
400 sf",Apt/Condo
96,"$2,400",West End,"0 bd
1 ba
415 sf",Apt/Condo
97,"$1,825",West End,"V Tour

0 bd
1 ba
418 sf","V Tour


Apt/Condo"
98,"$1,700",West End,"V Tour

0 bd
1 ba
433 sf","V Tour


Apt/Condo"
99,"$3,200",West End,"V Tour

2 bd
2 ba","V Tour


Apt/Condo"
100,"$1,875",West End,"V Tour

1 bd
1 ba","V Tour


Apt/Condo"
101,"$1,815",Collingwood,"1 bd
1 ba
509 sf",Apt/Condo
102,"$2,225",West End,"1 bd
1 ba
484 sf",Apt/Condo
103,"$2,050",Coal Harbour,"0 bd
1 ba
670 sf",Apt/Condo
