,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"2,000",Crestwood Springfarm Yorkhill,"1 bd
1 ba
600 - 699 sf",1,1,600,Apt/Condo,vaughan,Ontario
1,"2,500",Concord,"1 + 1 bd
2 ba
700 - 799 sf",1 + 1,2,700,Apt/Condo,vaughan,Ontario
2,"8,000",Maple,"4 bd
4 ba
2500 - 3000 sf",4,4,2500,House,vaughan,Ontario
3,"2,250",Concord,"2 bd
2 ba
650 sf",2,2,650,Apt/Condo,vaughan,Ontario
4,"3,050",Concord,"3 bd
2 ba
1250 sf",3,2,1250,Apt/Condo,vaughan,Ontario
5,"3,300",Vellore Village,"3 + 1 bd
3 ba",3 + 1,3,,Townhouse,vaughan,Ontario
6,"1,850",Concord,"2 bd
1 ba",2,1,,Apt/Condo,vaughan,Ontario
7,"2,750",West Woodbridge,"3 bd
1 ba",3,1,,House,vaughan,Ontario
8,750,Brownridge,"1 bd
1 ba",1,1,,House,vaughan,Ontario
9,"2,499",Glen Shields,"3 bd
1 ba",3,1,,House,vaughan,Ontario
10,"4,800",Patterson,"4 bd
4 ba
3000 - 3500 sf
12 x 45 ft",4,4,3000,House,vaughan,Ontario
11,"1,900",Beverley Glen,"1 bd
1 ba
500 - 599 sf",1,1,500,Apt/Condo,vaughan,Ontario
12,"1,500",Patterson,"2 bd
1 ba
1500 - 2000 sf
42 x 82 ft",2,1,1500,House,vaughan,Ontario
13,"1,750",Vellore Village,"2 bd
1 ba",2,1,,House,vaughan,Ontario
14,"3,200",Concord,"3 bd
2 ba",3,2,,Apt/Condo,vaughan,Ontario
15,"3,650",Patterson,"3 bd
3 ba
2000 - 2500 sf",3,3,2000,Townhouse,vaughan,Ontario
16,"2,375",Concord,"2 bd
2 ba
700 - 799 sf",2,2,700,Apt/Condo,vaughan,Ontario
17,"1,300",Elder Mills,"0 bd
1 ba
700 - 1100 sf",0,1,700,House,vaughan,Ontario
18,"2,150",Lakeview Estates,"1 + 1 bd
1 ba
700 - 799 sf",1 + 1,1,700,Apt/Condo,vaughan,Ontario
19,"2,795",Concord,"2 + 1 bd
2 ba
800 - 899 sf",2 + 1,2,800,Apt/Condo,vaughan,Ontario
20,"5,600",Patterson,"6 bd
7 ba",6,7,,House,vaughan,Ontario
